,,,Total Trips
Year3Governors Island-Brooklyn Heights,Governors Island-Brooklyn Heights,Year3,8
Year3Governors Island-Chelsea,Governors Island-Chelsea,Year3,1
Year3Governors Island-Chinatown,Governors Island-Chinatown,Year3,5
Year3Governors Island-Civic Center,Governors Island-Civic Center,Year3,1
Year3Governors Island-Columbia St,Governors Island-Columbia St,Year3,3
Year3Governors Island-East Village,Governors Island-East Village,Year3,5
Year3Governors Island-Financial District,Governors Island-Financial District,Year3,51
Year3Governors Island-Governors Island,Governors Island-Governors Island,Year3,7491
Year3Governors Island-Gramercy,Governors Island-Gramercy,Year3,2
Year3Governors Island-Greenwich Village,Governors Island-Greenwich Village,Year3,2
Year3Governors Island-Hells Kitchen,Governors Island-Hells Kitchen,Year3,1
Year3Governors Island-Lower East Side,Governors Island-Lower East Side,Year3,6
Year3Governors Island-Midtown,Governors Island-Midtown,Year3,2
Year3Governors Island-Murray Hill,Governors Island-Murray Hill,Year3,6
Year3Governors Island-Nolita,Governors Island-Nolita,Year3,2
Year3Governors Island-SoHo,Governors Island-SoHo,Year3,1
Year3Governors Island-Stuyvesant Town,Governors Island-Stuyvesant Town,Year3,2
Year3Governors Island-Tribeca,Governors Island-Tribeca,Year3,7
Year3Governors Island-Two Bridges,Governors Island-Two Bridges,Year3,2
Year1Gramercy-Battery Park City,Gramercy-Battery Park City,Year1,1583
Year2Gramercy-Battery Park City,Gramercy-Battery Park City,Year2,1507
Year3Gramercy-Battery Park City,Gramercy-Battery Park City,Year3,2213
Year1Gramercy-Bedford-Stuyvesant,Gramercy-Bedford-Stuyvesant,Year1,173
Year2Gramercy-Bedford-Stuyvesant,Gramercy-Bedford-Stuyvesant,Year2,128
Year3Gramercy-Bedford-Stuyvesant,Gramercy-Bedford-Stuyvesant,Year3,297
Year1Gramercy-Boerum Hill,Gramercy-Boerum Hill,Year1,443
Year2Gramercy-Boerum Hill,Gramercy-Boerum Hill,Year2,205
Year3Gramercy-Boerum Hill,Gramercy-Boerum Hill,Year3,356
Year1Gramercy-Brooklyn Heights,Gramercy-Brooklyn Heights,Year1,911
Year2Gramercy-Brooklyn Heights,Gramercy-Brooklyn Heights,Year2,410
Year3Gramercy-Brooklyn Heights,Gramercy-Brooklyn Heights,Year3,772
Year1Gramercy-Central Park,Gramercy-Central Park,Year1,786
Year2Gramercy-Central Park,Gramercy-Central Park,Year2,370
Year3Gramercy-Central Park,Gramercy-Central Park,Year3,854
Year1Gramercy-Chelsea,Gramercy-Chelsea,Year1,40520
Year2Gramercy-Chelsea,Gramercy-Chelsea,Year2,42155
Year3Gramercy-Chelsea,Gramercy-Chelsea,Year3,54135
Year1Gramercy-Chinatown,Gramercy-Chinatown,Year1,2661
Year2Gramercy-Chinatown,Gramercy-Chinatown,Year2,3071
Year3Gramercy-Chinatown,Gramercy-Chinatown,Year3,3687
Year1Gramercy-Civic Center,Gramercy-Civic Center,Year1,1799
Year2Gramercy-Civic Center,Gramercy-Civic Center,Year2,1111
Year3Gramercy-Civic Center,Gramercy-Civic Center,Year3,1382
Year1Gramercy-Clinton Hill,Gramercy-Clinton Hill,Year1,346
Year2Gramercy-Clinton Hill,Gramercy-Clinton Hill,Year2,203
Year3Gramercy-Clinton Hill,Gramercy-Clinton Hill,Year3,286
Year1Gramercy-Columbia St,Gramercy-Columbia St,Year1,72
Year2Gramercy-Columbia St,Gramercy-Columbia St,Year2,36
Year3Gramercy-Columbia St,Gramercy-Columbia St,Year3,33
Year1Gramercy-DUMBO,Gramercy-DUMBO,Year1,685
Year2Gramercy-DUMBO,Gramercy-DUMBO,Year2,121
Year3Gramercy-DUMBO,Gramercy-DUMBO,Year3,228
Year1Gramercy-Downtown Brooklyn,Gramercy-Downtown Brooklyn,Year1,1478
Year2Gramercy-Downtown Brooklyn,Gramercy-Downtown Brooklyn,Year2,295
Year3Gramercy-Downtown Brooklyn,Gramercy-Downtown Brooklyn,Year3,463
Year1Gramercy-East Village,Gramercy-East Village,Year1,30308
Year2Gramercy-East Village,Gramercy-East Village,Year2,33406
Year3Gramercy-East Village,Gramercy-East Village,Year3,43331
Year1Gramercy-Financial District,Gramercy-Financial District,Year1,3740
Year2Gramercy-Financial District,Gramercy-Financial District,Year2,3255
Year3Gramercy-Financial District,Gramercy-Financial District,Year3,4747
Year1Gramercy-Flatiron District,Gramercy-Flatiron District,Year1,6899
Year2Gramercy-Flatiron District,Gramercy-Flatiron District,Year2,7954
Year3Gramercy-Flatiron District,Gramercy-Flatiron District,Year3,10233
Year1Gramercy-Fort Greene,Gramercy-Fort Greene,Year1,1282
Year2Gramercy-Fort Greene,Gramercy-Fort Greene,Year2,545
Year3Gramercy-Fort Greene,Gramercy-Fort Greene,Year3,697
Year1Gramercy-Gramercy,Gramercy-Gramercy,Year1,12385
Year2Gramercy-Gramercy,Gramercy-Gramercy,Year2,14248
Year3Gramercy-Gramercy,Gramercy-Gramercy,Year3,17739
Year3Gramercy-Greenpoint,Gramercy-Greenpoint,Year3,199
Year1Gramercy-Greenwich Village,Gramercy-Greenwich Village,Year1,14057
Year2Gramercy-Greenwich Village,Gramercy-Greenwich Village,Year2,14539
Year3Gramercy-Greenwich Village,Gramercy-Greenwich Village,Year3,17590
Year1Gramercy-Hells Kitchen,Gramercy-Hells Kitchen,Year1,6677
Year2Gramercy-Hells Kitchen,Gramercy-Hells Kitchen,Year2,4561
Year3Gramercy-Hells Kitchen,Gramercy-Hells Kitchen,Year3,6301
Year1Gramercy-Kips Bay,Gramercy-Kips Bay,Year1,14287
Year2Gramercy-Kips Bay,Gramercy-Kips Bay,Year2,14444
Year3Gramercy-Kips Bay,Gramercy-Kips Bay,Year3,18384
Year3Gramercy-Long Island City,Gramercy-Long Island City,Year3,248
Year1Gramercy-Lower East Side,Gramercy-Lower East Side,Year1,10110
Year2Gramercy-Lower East Side,Gramercy-Lower East Side,Year2,11027
Year3Gramercy-Lower East Side,Gramercy-Lower East Side,Year3,13500
Year1Gramercy-Midtown,Gramercy-Midtown,Year1,26244
Year2Gramercy-Midtown,Gramercy-Midtown,Year2,23807
Year3Gramercy-Midtown,Gramercy-Midtown,Year3,30109
Year1Gramercy-Murray Hill,Gramercy-Murray Hill,Year1,7478
Year2Gramercy-Murray Hill,Gramercy-Murray Hill,Year2,7660
Year3Gramercy-Murray Hill,Gramercy-Murray Hill,Year3,11582
Year1Gramercy-Navy Yard,Gramercy-Navy Yard,Year1,86
Year2Gramercy-Navy Yard,Gramercy-Navy Yard,Year2,33
Year3Gramercy-Navy Yard,Gramercy-Navy Yard,Year3,26
Year1Gramercy-NoHo,Gramercy-NoHo,Year1,1517
Year2Gramercy-NoHo,Gramercy-NoHo,Year2,1588
Year3Gramercy-NoHo,Gramercy-NoHo,Year3,1993
Year1Gramercy-Nolita,Gramercy-Nolita,Year1,3846
Year2Gramercy-Nolita,Gramercy-Nolita,Year2,4883
Year3Gramercy-Nolita,Gramercy-Nolita,Year3,4631
Year1Gramercy-Park Slope,Gramercy-Park Slope,Year1,187
Year2Gramercy-Park Slope,Gramercy-Park Slope,Year2,156
Year3Gramercy-Park Slope,Gramercy-Park Slope,Year3,218
Year1Gramercy-SoHo,Gramercy-SoHo,Year1,5712
Year2Gramercy-SoHo,Gramercy-SoHo,Year2,5272
Year3Gramercy-SoHo,Gramercy-SoHo,Year3,8289
Year1Gramercy-Stuyvesant Town,Gramercy-Stuyvesant Town,Year1,11780
Year2Gramercy-Stuyvesant Town,Gramercy-Stuyvesant Town,Year2,14063
Year3Gramercy-Stuyvesant Town,Gramercy-Stuyvesant Town,Year3,21759
Year3Gramercy-Sunset Park,Gramercy-Sunset Park,Year3,4
Year1Gramercy-Theater District,Gramercy-Theater District,Year1,3918
Year2Gramercy-Theater District,Gramercy-Theater District,Year2,3717
Year3Gramercy-Theater District,Gramercy-Theater District,Year3,3980
Year1Gramercy-Tribeca,Gramercy-Tribeca,Year1,4032
Year2Gramercy-Tribeca,Gramercy-Tribeca,Year2,3199
Year3Gramercy-Tribeca,Gramercy-Tribeca,Year3,3919
Year1Gramercy-Two Bridges,Gramercy-Two Bridges,Year1,411
Year2Gramercy-Two Bridges,Gramercy-Two Bridges,Year2,295
Year3Gramercy-Two Bridges,Gramercy-Two Bridges,Year3,618
Year1Gramercy-Upper East Side,Gramercy-Upper East Side,Year1,385
Year2Gramercy-Upper East Side,Gramercy-Upper East Side,Year2,526
Year3Gramercy-Upper East Side,Gramercy-Upper East Side,Year3,3539
Year1Gramercy-Upper West Side,Gramercy-Upper West Side,Year1,1200
Year2Gramercy-Upper West Side,Gramercy-Upper West Side,Year2,906
Year3Gramercy-Upper West Side,Gramercy-Upper West Side,Year3,1937
Year1Gramercy-Vinegar Hill,Gramercy-Vinegar Hill,Year1,286
Year2Gramercy-Vinegar Hill,Gramercy-Vinegar Hill,Year2,130
Year3Gramercy-Vinegar Hill,Gramercy-Vinegar Hill,Year3,162
Year1Gramercy-West Village,Gramercy-West Village,Year1,11112
Year2Gramercy-West Village,Gramercy-West Village,Year2,11514
Year3Gramercy-West Village,Gramercy-West Village,Year3,14094
Year1Gramercy-Williamsburg,Gramercy-Williamsburg,Year1,1103
Year2Gramercy-Williamsburg,Gramercy-Williamsburg,Year2,1162
Year3Gramercy-Williamsburg,Gramercy-Williamsburg,Year3,1986
Year3Greenpoint-Battery Park City,Greenpoint-Battery Park City,Year3,55
Year3Greenpoint-Bedford-Stuyvesant,Greenpoint-Bedford-Stuyvesant,Year3,1746
Year3Greenpoint-Boerum Hill,Greenpoint-Boerum Hill,Year3,177
Year3Greenpoint-Brooklyn Heights,Greenpoint-Brooklyn Heights,Year3,282
Year3Greenpoint-Central Park,Greenpoint-Central Park,Year3,72
Year3Greenpoint-Chelsea,Greenpoint-Chelsea,Year3,408
Year3Greenpoint-Chinatown,Greenpoint-Chinatown,Year3,380
Year3Greenpoint-Civic Center,Greenpoint-Civic Center,Year3,174
Year3Greenpoint-Clinton Hill,Greenpoint-Clinton Hill,Year3,1166
Year3Greenpoint-Columbia St,Greenpoint-Columbia St,Year3,70
Year3Greenpoint-DUMBO,Greenpoint-DUMBO,Year3,307
Year3Greenpoint-Downtown Brooklyn,Greenpoint-Downtown Brooklyn,Year3,642
Year3Greenpoint-East Village,Greenpoint-East Village,Year3,1394
Year3Greenpoint-Financial District,Greenpoint-Financial District,Year3,996
Year3Greenpoint-Flatiron District,Greenpoint-Flatiron District,Year3,130
Year3Greenpoint-Fort Greene,Greenpoint-Fort Greene,Year3,1014
Year3Greenpoint-Gramercy,Greenpoint-Gramercy,Year3,213
Year3Greenpoint-Greenpoint,Greenpoint-Greenpoint,Year3,38955
Year3Greenpoint-Greenwich Village,Greenpoint-Greenwich Village,Year3,322
Year3Greenpoint-Hells Kitchen,Greenpoint-Hells Kitchen,Year3,100
Year3Greenpoint-Kips Bay,Greenpoint-Kips Bay,Year3,166
Year3Greenpoint-Long Island City,Greenpoint-Long Island City,Year3,11440
Year3Greenpoint-Lower East Side,Greenpoint-Lower East Side,Year3,1944
Year3Greenpoint-Midtown,Greenpoint-Midtown,Year3,821
Year3Greenpoint-Murray Hill,Greenpoint-Murray Hill,Year3,105
Year3Greenpoint-Navy Yard,Greenpoint-Navy Yard,Year3,430
Year3Greenpoint-NoHo,Greenpoint-NoHo,Year3,210
Year3Greenpoint-Nolita,Greenpoint-Nolita,Year3,392
Year3Greenpoint-Park Slope,Greenpoint-Park Slope,Year3,125
Year3Greenpoint-Prospect Park,Greenpoint-Prospect Park,Year3,3
Year3Greenpoint-SoHo,Greenpoint-SoHo,Year3,847
Year3Greenpoint-Stuyvesant Town,Greenpoint-Stuyvesant Town,Year3,113
Year3Greenpoint-Theater District,Greenpoint-Theater District,Year3,57
Year3Greenpoint-Tribeca,Greenpoint-Tribeca,Year3,338
Year3Greenpoint-Two Bridges,Greenpoint-Two Bridges,Year3,118
Year3Greenpoint-Upper East Side,Greenpoint-Upper East Side,Year3,511
Year3Greenpoint-Upper West Side,Greenpoint-Upper West Side,Year3,147
Year3Greenpoint-Vinegar Hill,Greenpoint-Vinegar Hill,Year3,961
Year3Greenpoint-West Village,Greenpoint-West Village,Year3,285
Year3Greenpoint-Williamsburg,Greenpoint-Williamsburg,Year3,62176
Year1Greenwich Village-Battery Park City,Greenwich Village-Battery Park City,Year1,7082
Year2Greenwich Village-Battery Park City,Greenwich Village-Battery Park City,Year2,6042
Year3Greenwich Village-Battery Park City,Greenwich Village-Battery Park City,Year3,8917
Year1Greenwich Village-Bedford-Stuyvesant,Greenwich Village-Bedford-Stuyvesant,Year1,667
Year2Greenwich Village-Bedford-Stuyvesant,Greenwich Village-Bedford-Stuyvesant,Year2,429
Year3Greenwich Village-Bedford-Stuyvesant,Greenwich Village-Bedford-Stuyvesant,Year3,760
Year1Greenwich Village-Boerum Hill,Greenwich Village-Boerum Hill,Year1,434
Year2Greenwich Village-Boerum Hill,Greenwich Village-Boerum Hill,Year2,356
Year3Greenwich Village-Boerum Hill,Greenwich Village-Boerum Hill,Year3,434
Year1Greenwich Village-Brooklyn Heights,Greenwich Village-Brooklyn Heights,Year1,1109
Year2Greenwich Village-Brooklyn Heights,Greenwich Village-Brooklyn Heights,Year2,773
Year3Greenwich Village-Brooklyn Heights,Greenwich Village-Brooklyn Heights,Year3,655
Year1Greenwich Village-Central Park,Greenwich Village-Central Park,Year1,537
Year2Greenwich Village-Central Park,Greenwich Village-Central Park,Year2,443
Year3Greenwich Village-Central Park,Greenwich Village-Central Park,Year3,1142
Year1Greenwich Village-Chelsea,Greenwich Village-Chelsea,Year1,56345
Year2Greenwich Village-Chelsea,Greenwich Village-Chelsea,Year2,51764
Year3Greenwich Village-Chelsea,Greenwich Village-Chelsea,Year3,69289
Year1Greenwich Village-Chinatown,Greenwich Village-Chinatown,Year1,5869
Year2Greenwich Village-Chinatown,Greenwich Village-Chinatown,Year2,5615
Year3Greenwich Village-Chinatown,Greenwich Village-Chinatown,Year3,7580
Year1Greenwich Village-Civic Center,Greenwich Village-Civic Center,Year1,2780
Year2Greenwich Village-Civic Center,Greenwich Village-Civic Center,Year2,2441
Year3Greenwich Village-Civic Center,Greenwich Village-Civic Center,Year3,3383
Year1Greenwich Village-Clinton Hill,Greenwich Village-Clinton Hill,Year1,1259
Year2Greenwich Village-Clinton Hill,Greenwich Village-Clinton Hill,Year2,464
Year3Greenwich Village-Clinton Hill,Greenwich Village-Clinton Hill,Year3,518
Year1Greenwich Village-Columbia St,Greenwich Village-Columbia St,Year1,91
Year2Greenwich Village-Columbia St,Greenwich Village-Columbia St,Year2,60
Year3Greenwich Village-Columbia St,Greenwich Village-Columbia St,Year3,77
Year1Greenwich Village-DUMBO,Greenwich Village-DUMBO,Year1,283
Year2Greenwich Village-DUMBO,Greenwich Village-DUMBO,Year2,148
Year3Greenwich Village-DUMBO,Greenwich Village-DUMBO,Year3,334
Year1Greenwich Village-Downtown Brooklyn,Greenwich Village-Downtown Brooklyn,Year1,2947
Year2Greenwich Village-Downtown Brooklyn,Greenwich Village-Downtown Brooklyn,Year2,728
Year3Greenwich Village-Downtown Brooklyn,Greenwich Village-Downtown Brooklyn,Year3,794
Year1Greenwich Village-East Village,Greenwich Village-East Village,Year1,66638
Year2Greenwich Village-East Village,Greenwich Village-East Village,Year2,64171
Year3Greenwich Village-East Village,Greenwich Village-East Village,Year3,78328
Year1Greenwich Village-Financial District,Greenwich Village-Financial District,Year1,7707
Year2Greenwich Village-Financial District,Greenwich Village-Financial District,Year2,6879
Year3Greenwich Village-Financial District,Greenwich Village-Financial District,Year3,8767
Year1Greenwich Village-Flatiron District,Greenwich Village-Flatiron District,Year1,9959
Year2Greenwich Village-Flatiron District,Greenwich Village-Flatiron District,Year2,9858
Year3Greenwich Village-Flatiron District,Greenwich Village-Flatiron District,Year3,12576
Year1Greenwich Village-Fort Greene,Greenwich Village-Fort Greene,Year1,3018
Year2Greenwich Village-Fort Greene,Greenwich Village-Fort Greene,Year2,962
Year3Greenwich Village-Fort Greene,Greenwich Village-Fort Greene,Year3,918
Year3Greenwich Village-Governors Island,Greenwich Village-Governors Island,Year3,3
Year1Greenwich Village-Gramercy,Greenwich Village-Gramercy,Year1,11895
Year2Greenwich Village-Gramercy,Greenwich Village-Gramercy,Year2,12217
Year3Greenwich Village-Gramercy,Greenwich Village-Gramercy,Year3,14644
Year3Greenwich Village-Greenpoint,Greenwich Village-Greenpoint,Year3,421
Year1Greenwich Village-Greenwich Village,Greenwich Village-Greenwich Village,Year1,62527
Year2Greenwich Village-Greenwich Village,Greenwich Village-Greenwich Village,Year2,54799
Year3Greenwich Village-Greenwich Village,Greenwich Village-Greenwich Village,Year3,60492
Year1Greenwich Village-Hells Kitchen,Greenwich Village-Hells Kitchen,Year1,11104
Year2Greenwich Village-Hells Kitchen,Greenwich Village-Hells Kitchen,Year2,7674
Year3Greenwich Village-Hells Kitchen,Greenwich Village-Hells Kitchen,Year3,10313
Year1Greenwich Village-Kips Bay,Greenwich Village-Kips Bay,Year1,11539
Year2Greenwich Village-Kips Bay,Greenwich Village-Kips Bay,Year2,10761
Year3Greenwich Village-Kips Bay,Greenwich Village-Kips Bay,Year3,12499
Year3Greenwich Village-Long Island City,Greenwich Village-Long Island City,Year3,200
Year1Greenwich Village-Lower East Side,Greenwich Village-Lower East Side,Year1,19424
Year2Greenwich Village-Lower East Side,Greenwich Village-Lower East Side,Year2,16950
Year3Greenwich Village-Lower East Side,Greenwich Village-Lower East Side,Year3,19788
Year1Greenwich Village-Midtown,Greenwich Village-Midtown,Year1,26097
Year2Greenwich Village-Midtown,Greenwich Village-Midtown,Year2,19681
Year3Greenwich Village-Midtown,Greenwich Village-Midtown,Year3,24392
Year1Greenwich Village-Murray Hill,Greenwich Village-Murray Hill,Year1,4581
Year2Greenwich Village-Murray Hill,Greenwich Village-Murray Hill,Year2,4204
Year3Greenwich Village-Murray Hill,Greenwich Village-Murray Hill,Year3,6788
Year1Greenwich Village-Navy Yard,Greenwich Village-Navy Yard,Year1,78
Year2Greenwich Village-Navy Yard,Greenwich Village-Navy Yard,Year2,85
Year3Greenwich Village-Navy Yard,Greenwich Village-Navy Yard,Year3,62
Year1Greenwich Village-NoHo,Greenwich Village-NoHo,Year1,3229
Year2Greenwich Village-NoHo,Greenwich Village-NoHo,Year2,2300
Year3Greenwich Village-NoHo,Greenwich Village-NoHo,Year3,3459
Year1Greenwich Village-Nolita,Greenwich Village-Nolita,Year1,10638
Year2Greenwich Village-Nolita,Greenwich Village-Nolita,Year2,12381
Year3Greenwich Village-Nolita,Greenwich Village-Nolita,Year3,11010
Year1Greenwich Village-Park Slope,Greenwich Village-Park Slope,Year1,323
Year2Greenwich Village-Park Slope,Greenwich Village-Park Slope,Year2,238
Year3Greenwich Village-Park Slope,Greenwich Village-Park Slope,Year3,247
Year1Greenwich Village-SoHo,Greenwich Village-SoHo,Year1,24298
Year2Greenwich Village-SoHo,Greenwich Village-SoHo,Year2,21472
Year3Greenwich Village-SoHo,Greenwich Village-SoHo,Year3,28842
Year1Greenwich Village-Stuyvesant Town,Greenwich Village-Stuyvesant Town,Year1,9467
Year2Greenwich Village-Stuyvesant Town,Greenwich Village-Stuyvesant Town,Year2,9789
Year3Greenwich Village-Stuyvesant Town,Greenwich Village-Stuyvesant Town,Year3,13475
Year3Greenwich Village-Sunset Park,Greenwich Village-Sunset Park,Year3,2
Year1Greenwich Village-Theater District,Greenwich Village-Theater District,Year1,5097
Year2Greenwich Village-Theater District,Greenwich Village-Theater District,Year2,4534
Year3Greenwich Village-Theater District,Greenwich Village-Theater District,Year3,5521
Year1Greenwich Village-Tribeca,Greenwich Village-Tribeca,Year1,13507
Year2Greenwich Village-Tribeca,Greenwich Village-Tribeca,Year2,11292
Year3Greenwich Village-Tribeca,Greenwich Village-Tribeca,Year3,14686
Year1Greenwich Village-Two Bridges,Greenwich Village-Two Bridges,Year1,699
Year2Greenwich Village-Two Bridges,Greenwich Village-Two Bridges,Year2,525
Year3Greenwich Village-Two Bridges,Greenwich Village-Two Bridges,Year3,702
Year1Greenwich Village-Upper East Side,Greenwich Village-Upper East Side,Year1,426
Year2Greenwich Village-Upper East Side,Greenwich Village-Upper East Side,Year2,339
Year3Greenwich Village-Upper East Side,Greenwich Village-Upper East Side,Year3,2196
Year1Greenwich Village-Upper West Side,Greenwich Village-Upper West Side,Year1,1739
Year2Greenwich Village-Upper West Side,Greenwich Village-Upper West Side,Year2,1671
Year3Greenwich Village-Upper West Side,Greenwich Village-Upper West Side,Year3,3849
Year1Greenwich Village-Vinegar Hill,Greenwich Village-Vinegar Hill,Year1,358
Year2Greenwich Village-Vinegar Hill,Greenwich Village-Vinegar Hill,Year2,233
Year3Greenwich Village-Vinegar Hill,Greenwich Village-Vinegar Hill,Year3,278
Year1Greenwich Village-West Village,Greenwich Village-West Village,Year1,48089
Year2Greenwich Village-West Village,Greenwich Village-West Village,Year2,47239
Year3Greenwich Village-West Village,Greenwich Village-West Village,Year3,59732
Year1Greenwich Village-Williamsburg,Greenwich Village-Williamsburg,Year1,2144
Year2Greenwich Village-Williamsburg,Greenwich Village-Williamsburg,Year2,2085
Year3Greenwich Village-Williamsburg,Greenwich Village-Williamsburg,Year3,3384
Year1Hells Kitchen-Battery Park City,Hells Kitchen-Battery Park City,Year1,16913
Year2Hells Kitchen-Battery Park City,Hells Kitchen-Battery Park City,Year2,15875
Year3Hells Kitchen-Battery Park City,Hells Kitchen-Battery Park City,Year3,26556
Year1Hells Kitchen-Bedford-Stuyvesant,Hells Kitchen-Bedford-Stuyvesant,Year1,172
Year2Hells Kitchen-Bedford-Stuyvesant,Hells Kitchen-Bedford-Stuyvesant,Year2,26
Year3Hells Kitchen-Bedford-Stuyvesant,Hells Kitchen-Bedford-Stuyvesant,Year3,76
Year1Hells Kitchen-Boerum Hill,Hells Kitchen-Boerum Hill,Year1,134
Year2Hells Kitchen-Boerum Hill,Hells Kitchen-Boerum Hill,Year2,112
Year3Hells Kitchen-Boerum Hill,Hells Kitchen-Boerum Hill,Year3,174
Year1Hells Kitchen-Brooklyn Heights,Hells Kitchen-Brooklyn Heights,Year1,543
Year2Hells Kitchen-Brooklyn Heights,Hells Kitchen-Brooklyn Heights,Year2,289
Year3Hells Kitchen-Brooklyn Heights,Hells Kitchen-Brooklyn Heights,Year3,602
Year1Hells Kitchen-Central Park,Hells Kitchen-Central Park,Year1,2575
Year2Hells Kitchen-Central Park,Hells Kitchen-Central Park,Year2,2591
Year3Hells Kitchen-Central Park,Hells Kitchen-Central Park,Year3,11203
Year1Hells Kitchen-Chelsea,Hells Kitchen-Chelsea,Year1,102557
Year2Hells Kitchen-Chelsea,Hells Kitchen-Chelsea,Year2,99079
Year3Hells Kitchen-Chelsea,Hells Kitchen-Chelsea,Year3,141949
Year1Hells Kitchen-Chinatown,Hells Kitchen-Chinatown,Year1,1668
Year2Hells Kitchen-Chinatown,Hells Kitchen-Chinatown,Year2,1267
Year3Hells Kitchen-Chinatown,Hells Kitchen-Chinatown,Year3,1789
Year1Hells Kitchen-Civic Center,Hells Kitchen-Civic Center,Year1,1418
Year2Hells Kitchen-Civic Center,Hells Kitchen-Civic Center,Year2,1018
Year3Hells Kitchen-Civic Center,Hells Kitchen-Civic Center,Year3,1409
Year1Hells Kitchen-Clinton Hill,Hells Kitchen-Clinton Hill,Year1,302
Year2Hells Kitchen-Clinton Hill,Hells Kitchen-Clinton Hill,Year2,229
Year3Hells Kitchen-Clinton Hill,Hells Kitchen-Clinton Hill,Year3,140
Year1Hells Kitchen-Columbia St,Hells Kitchen-Columbia St,Year1,25
Year2Hells Kitchen-Columbia St,Hells Kitchen-Columbia St,Year2,21
Year3Hells Kitchen-Columbia St,Hells Kitchen-Columbia St,Year3,29
Year1Hells Kitchen-DUMBO,Hells Kitchen-DUMBO,Year1,132
Year2Hells Kitchen-DUMBO,Hells Kitchen-DUMBO,Year2,79
Year3Hells Kitchen-DUMBO,Hells Kitchen-DUMBO,Year3,128
Year1Hells Kitchen-Downtown Brooklyn,Hells Kitchen-Downtown Brooklyn,Year1,760
Year2Hells Kitchen-Downtown Brooklyn,Hells Kitchen-Downtown Brooklyn,Year2,423
Year3Hells Kitchen-Downtown Brooklyn,Hells Kitchen-Downtown Brooklyn,Year3,337
Year1Hells Kitchen-East Village,Hells Kitchen-East Village,Year1,13611
Year2Hells Kitchen-East Village,Hells Kitchen-East Village,Year2,8596
Year3Hells Kitchen-East Village,Hells Kitchen-East Village,Year3,11298
Year1Hells Kitchen-Financial District,Hells Kitchen-Financial District,Year1,7163
Year2Hells Kitchen-Financial District,Hells Kitchen-Financial District,Year2,5929
Year3Hells Kitchen-Financial District,Hells Kitchen-Financial District,Year3,11020
Year1Hells Kitchen-Flatiron District,Hells Kitchen-Flatiron District,Year1,8497
Year2Hells Kitchen-Flatiron District,Hells Kitchen-Flatiron District,Year2,8351
Year3Hells Kitchen-Flatiron District,Hells Kitchen-Flatiron District,Year3,11495
Year1Hells Kitchen-Fort Greene,Hells Kitchen-Fort Greene,Year1,2110
Year2Hells Kitchen-Fort Greene,Hells Kitchen-Fort Greene,Year2,231
Year3Hells Kitchen-Fort Greene,Hells Kitchen-Fort Greene,Year3,310
Year1Hells Kitchen-Gramercy,Hells Kitchen-Gramercy,Year1,7074
Year2Hells Kitchen-Gramercy,Hells Kitchen-Gramercy,Year2,5333
Year3Hells Kitchen-Gramercy,Hells Kitchen-Gramercy,Year3,7244
Year3Hells Kitchen-Greenpoint,Hells Kitchen-Greenpoint,Year3,103
Year1Hells Kitchen-Greenwich Village,Hells Kitchen-Greenwich Village,Year1,10925
Year2Hells Kitchen-Greenwich Village,Hells Kitchen-Greenwich Village,Year2,8358
Year3Hells Kitchen-Greenwich Village,Hells Kitchen-Greenwich Village,Year3,10850
Year1Hells Kitchen-Hells Kitchen,Hells Kitchen-Hells Kitchen,Year1,108471
Year2Hells Kitchen-Hells Kitchen,Hells Kitchen-Hells Kitchen,Year2,99099
Year3Hells Kitchen-Hells Kitchen,Hells Kitchen-Hells Kitchen,Year3,143042
Year1Hells Kitchen-Kips Bay,Hells Kitchen-Kips Bay,Year1,9094
Year2Hells Kitchen-Kips Bay,Hells Kitchen-Kips Bay,Year2,7112
Year3Hells Kitchen-Kips Bay,Hells Kitchen-Kips Bay,Year3,9436
Year3Hells Kitchen-Long Island City,Hells Kitchen-Long Island City,Year3,561
Year1Hells Kitchen-Lower East Side,Hells Kitchen-Lower East Side,Year1,4507
Year2Hells Kitchen-Lower East Side,Hells Kitchen-Lower East Side,Year2,2711
Year3Hells Kitchen-Lower East Side,Hells Kitchen-Lower East Side,Year3,3694
Year1Hells Kitchen-Midtown,Hells Kitchen-Midtown,Year1,105609
Year2Hells Kitchen-Midtown,Hells Kitchen-Midtown,Year2,102021
Year3Hells Kitchen-Midtown,Hells Kitchen-Midtown,Year3,139486
Year1Hells Kitchen-Murray Hill,Hells Kitchen-Murray Hill,Year1,8633
Year2Hells Kitchen-Murray Hill,Hells Kitchen-Murray Hill,Year2,9850
Year3Hells Kitchen-Murray Hill,Hells Kitchen-Murray Hill,Year3,17088
Year1Hells Kitchen-Navy Yard,Hells Kitchen-Navy Yard,Year1,10
Year2Hells Kitchen-Navy Yard,Hells Kitchen-Navy Yard,Year2,9
Year3Hells Kitchen-Navy Yard,Hells Kitchen-Navy Yard,Year3,8
Year1Hells Kitchen-NoHo,Hells Kitchen-NoHo,Year1,517
Year2Hells Kitchen-NoHo,Hells Kitchen-NoHo,Year2,303
Year3Hells Kitchen-NoHo,Hells Kitchen-NoHo,Year3,576
Year1Hells Kitchen-Nolita,Hells Kitchen-Nolita,Year1,1935
Year2Hells Kitchen-Nolita,Hells Kitchen-Nolita,Year2,1908
