,,,Total Trips
Year1Bedford-Stuyvesant-Clinton Hill,Bedford-Stuyvesant-Clinton Hill,Year1,6721
Year2Bedford-Stuyvesant-Clinton Hill,Bedford-Stuyvesant-Clinton Hill,Year2,5364
Year3Bedford-Stuyvesant-Clinton Hill,Bedford-Stuyvesant-Clinton Hill,Year3,11924
Year1Bedford-Stuyvesant-Columbia St,Bedford-Stuyvesant-Columbia St,Year1,122
Year2Bedford-Stuyvesant-Columbia St,Bedford-Stuyvesant-Columbia St,Year2,148
Year3Bedford-Stuyvesant-Columbia St,Bedford-Stuyvesant-Columbia St,Year3,231
Year1Bedford-Stuyvesant-DUMBO,Bedford-Stuyvesant-DUMBO,Year1,501
Year2Bedford-Stuyvesant-DUMBO,Bedford-Stuyvesant-DUMBO,Year2,503
Year3Bedford-Stuyvesant-DUMBO,Bedford-Stuyvesant-DUMBO,Year3,1016
Year1Bedford-Stuyvesant-Downtown Brooklyn,Bedford-Stuyvesant-Downtown Brooklyn,Year1,1892
Year2Bedford-Stuyvesant-Downtown Brooklyn,Bedford-Stuyvesant-Downtown Brooklyn,Year2,2134
Year3Bedford-Stuyvesant-Downtown Brooklyn,Bedford-Stuyvesant-Downtown Brooklyn,Year3,3754
Year1Bedford-Stuyvesant-East Village,Bedford-Stuyvesant-East Village,Year1,943
Year2Bedford-Stuyvesant-East Village,Bedford-Stuyvesant-East Village,Year2,451
Year3Bedford-Stuyvesant-East Village,Bedford-Stuyvesant-East Village,Year3,1364
Year1Bedford-Stuyvesant-Financial District,Bedford-Stuyvesant-Financial District,Year1,488
Year2Bedford-Stuyvesant-Financial District,Bedford-Stuyvesant-Financial District,Year2,419
Year3Bedford-Stuyvesant-Financial District,Bedford-Stuyvesant-Financial District,Year3,1085
Year1Bedford-Stuyvesant-Flatiron District,Bedford-Stuyvesant-Flatiron District,Year1,94
Year2Bedford-Stuyvesant-Flatiron District,Bedford-Stuyvesant-Flatiron District,Year2,68
Year3Bedford-Stuyvesant-Flatiron District,Bedford-Stuyvesant-Flatiron District,Year3,215
Year1Bedford-Stuyvesant-Fort Greene,Bedford-Stuyvesant-Fort Greene,Year1,6548
Year2Bedford-Stuyvesant-Fort Greene,Bedford-Stuyvesant-Fort Greene,Year2,6460
Year3Bedford-Stuyvesant-Fort Greene,Bedford-Stuyvesant-Fort Greene,Year3,11403
Year3Bedford-Stuyvesant-Governors Island,Bedford-Stuyvesant-Governors Island,Year3,1
Year1Bedford-Stuyvesant-Gramercy,Bedford-Stuyvesant-Gramercy,Year1,284
Year2Bedford-Stuyvesant-Gramercy,Bedford-Stuyvesant-Gramercy,Year2,228
Year3Bedford-Stuyvesant-Gramercy,Bedford-Stuyvesant-Gramercy,Year3,389
Year3Bedford-Stuyvesant-Greenpoint,Bedford-Stuyvesant-Greenpoint,Year3,1921
Year1Bedford-Stuyvesant-Greenwich Village,Bedford-Stuyvesant-Greenwich Village,Year1,719
Year2Bedford-Stuyvesant-Greenwich Village,Bedford-Stuyvesant-Greenwich Village,Year2,505
Year3Bedford-Stuyvesant-Greenwich Village,Bedford-Stuyvesant-Greenwich Village,Year3,859
Year1Bedford-Stuyvesant-Hells Kitchen,Bedford-Stuyvesant-Hells Kitchen,Year1,152
Year2Bedford-Stuyvesant-Hells Kitchen,Bedford-Stuyvesant-Hells Kitchen,Year2,37
Year3Bedford-Stuyvesant-Hells Kitchen,Bedford-Stuyvesant-Hells Kitchen,Year3,54
Year1Bedford-Stuyvesant-Kips Bay,Bedford-Stuyvesant-Kips Bay,Year1,160
Year2Bedford-Stuyvesant-Kips Bay,Bedford-Stuyvesant-Kips Bay,Year2,88
Year3Bedford-Stuyvesant-Kips Bay,Bedford-Stuyvesant-Kips Bay,Year3,204
Year3Bedford-Stuyvesant-Long Island City,Bedford-Stuyvesant-Long Island City,Year3,332
Year1Bedford-Stuyvesant-Lower East Side,Bedford-Stuyvesant-Lower East Side,Year1,712
Year2Bedford-Stuyvesant-Lower East Side,Bedford-Stuyvesant-Lower East Side,Year2,540
Year3Bedford-Stuyvesant-Lower East Side,Bedford-Stuyvesant-Lower East Side,Year3,1238
Year1Bedford-Stuyvesant-Midtown,Bedford-Stuyvesant-Midtown,Year1,447
Year2Bedford-Stuyvesant-Midtown,Bedford-Stuyvesant-Midtown,Year2,215
Year3Bedford-Stuyvesant-Midtown,Bedford-Stuyvesant-Midtown,Year3,506
Year1Bedford-Stuyvesant-Murray Hill,Bedford-Stuyvesant-Murray Hill,Year1,98
Year2Bedford-Stuyvesant-Murray Hill,Bedford-Stuyvesant-Murray Hill,Year2,56
Year3Bedford-Stuyvesant-Murray Hill,Bedford-Stuyvesant-Murray Hill,Year3,95
Year1Bedford-Stuyvesant-Navy Yard,Bedford-Stuyvesant-Navy Yard,Year1,315
Year2Bedford-Stuyvesant-Navy Yard,Bedford-Stuyvesant-Navy Yard,Year2,231
Year3Bedford-Stuyvesant-Navy Yard,Bedford-Stuyvesant-Navy Yard,Year3,290
Year1Bedford-Stuyvesant-NoHo,Bedford-Stuyvesant-NoHo,Year1,49
Year2Bedford-Stuyvesant-NoHo,Bedford-Stuyvesant-NoHo,Year2,94
Year3Bedford-Stuyvesant-NoHo,Bedford-Stuyvesant-NoHo,Year3,304
Year1Bedford-Stuyvesant-Nolita,Bedford-Stuyvesant-Nolita,Year1,268
Year2Bedford-Stuyvesant-Nolita,Bedford-Stuyvesant-Nolita,Year2,245
Year3Bedford-Stuyvesant-Nolita,Bedford-Stuyvesant-Nolita,Year3,471
Year1Bedford-Stuyvesant-Park Slope,Bedford-Stuyvesant-Park Slope,Year1,622
Year2Bedford-Stuyvesant-Park Slope,Bedford-Stuyvesant-Park Slope,Year2,396
Year3Bedford-Stuyvesant-Park Slope,Bedford-Stuyvesant-Park Slope,Year3,1099
Year3Bedford-Stuyvesant-Prospect Park,Bedford-Stuyvesant-Prospect Park,Year3,18
Year1Bedford-Stuyvesant-SoHo,Bedford-Stuyvesant-SoHo,Year1,303
Year2Bedford-Stuyvesant-SoHo,Bedford-Stuyvesant-SoHo,Year2,349
Year3Bedford-Stuyvesant-SoHo,Bedford-Stuyvesant-SoHo,Year3,722
Year1Bedford-Stuyvesant-Stuyvesant Town,Bedford-Stuyvesant-Stuyvesant Town,Year1,91
Year2Bedford-Stuyvesant-Stuyvesant Town,Bedford-Stuyvesant-Stuyvesant Town,Year2,27
Year3Bedford-Stuyvesant-Stuyvesant Town,Bedford-Stuyvesant-Stuyvesant Town,Year3,130
Year3Bedford-Stuyvesant-Sunset Park,Bedford-Stuyvesant-Sunset Park,Year3,13
Year1Bedford-Stuyvesant-Theater District,Bedford-Stuyvesant-Theater District,Year1,49
Year2Bedford-Stuyvesant-Theater District,Bedford-Stuyvesant-Theater District,Year2,3
Year3Bedford-Stuyvesant-Theater District,Bedford-Stuyvesant-Theater District,Year3,47
Year1Bedford-Stuyvesant-Tribeca,Bedford-Stuyvesant-Tribeca,Year1,413
Year2Bedford-Stuyvesant-Tribeca,Bedford-Stuyvesant-Tribeca,Year2,503
Year3Bedford-Stuyvesant-Tribeca,Bedford-Stuyvesant-Tribeca,Year3,440
