trip_string,counts
John F. Kennedy International Airport-Hell's Kitchen,454327
Hell's Kitchen-Central Park,449693
Theater District-East Village,447965
Tribeca-Upper East Side,446269
Gramercy-Gramercy,444911
Hell's Kitchen-Flatiron District,444351
Hell's Kitchen-Greenwich Village,444181
Greenwich Village-Upper West Side,443910
Williamsburg-Greenpoint,441934
East Village-Tribeca,437955
Tribeca-Hell's Kitchen,437266
Hell's Kitchen-Kips Bay,435845
West Village-Kips Bay,434494
LaGuardia Airport-Murray Hill,434435
Chelsea-NoHo,434240
Murray Hill-Flatiron District,433011
Financial District-Hell's Kitchen,431369
Harlem-East Harlem,427632
Gramercy-Hell's Kitchen,425628
Chelsea-Central Park,425180
SoHo-Theater District,424817
Kips Bay-Hell's Kitchen,423716
Tribeca-Battery Park City,423655
Hell's Kitchen-Tribeca,422982
Upper East Side-Tribeca,421524
Chelsea-LaGuardia Airport,417881
Greenwich Village-Theater District,413826
John F. Kennedy International Airport-Chelsea,413432
Chelsea-Williamsburg,413269
Greenwich Village-Tribeca,410892
Upper East Side-Lower East Side,410799
Tribeca-Greenwich Village,409555
Lower East Side-Financial District,406296
Greenwich Village-Lower East Side,404814
Financial District-Lower East Side,401690
Greenwich Village-Murray Hill,395352
Flatiron District-Greenwich Village,394360
Central Park-Chelsea,394079
Central Park-Theater District,393745
SoHo-Upper West Side,390230
Hell's Kitchen-LaGuardia Airport,388187
Gramercy-Upper West Side,388065
Murray Hill-West Village,387254
Gramercy-SoHo,385588
Gramercy-Lower East Side,385112
LaGuardia Airport-Financial District,384507
Battery Park City-West Village,380904
Financial District-Theater District,380828
Flatiron District-Kips Bay,379776
Greenwich Village-Gramercy,377614
Hell's Kitchen-Battery Park City,372776
NoHo-East Village,372221
Theater District-SoHo,370572
Morningside Heights-Upper East Side,367691
Flatiron District-Upper West Side,365075
Astoria-Astoria,364292
Greenwich Village-Financial District,363416
Upper West Side-Kips Bay,363036
Hell's Kitchen-Gramercy,360731
Flatiron District-Theater District,359769
Upper West Side-John F. Kennedy International Airport,358984
Kips Bay-Greenwich Village,358874
NoHo-West Village,357709
Theater District-Kips Bay,357161
Upper East Side-Astoria,357031
Upper West Side-Greenwich Village,354354
Morningside Heights-Harlem,354147
Kips Bay-Upper West Side,353786
Midtown-Morningside Heights,352100
Chelsea-East Harlem,351037
Financial District-Battery Park City,350543
Central Park-Hell's Kitchen,349519
Kips Bay-Theater District,348703
Murray Hill-Financial District,348438
Murray Hill-Greenwich Village,345961
Tribeca-Upper West Side,345034
Kips Bay-West Village,344399
Upper East Side-Long Island City,343412
Theater District-John F. Kennedy International Airport,340976
Lower East Side-Kips Bay,339092
Tribeca-Theater District,337246
Battery Park City-SoHo,332486
Upper West Side-Flatiron District,332226
Stuyvesant Town-Chelsea,329810
East Village-NoHo,329359
Flatiron District-SoHo,328679
SoHo-Gramercy,328485
Chelsea-Stuyvesant Town,327734
Greenwich Village-Kips Bay,327516
SoHo-Murray Hill,326029
Midtown-Nolita,325623
Midtown-Chinatown,321734
Greenwich Village-Flatiron District,319938
Upper East Side-Battery Park City,318626
East Village-Chinatown,317284
SoHo-Battery Park City,316254
Lower East Side-Gramercy,316251
Upper East Side-Washington Heights,315703
Upper West Side-SoHo,315003
Battery Park City-Hell's Kitchen,313123
Theater District-Greenwich Village,312021
Kips Bay-Lower East Side,311666
Upper West Side-Gramercy,311427
John F. Kennedy International Airport-Williamsburg,310705
Gramercy-Theater District,308943
Lower East Side-Greenwich Village,307444
SoHo-Williamsburg,306326
Hell's Kitchen-East Harlem,305947
West Village-NoHo,304313
Murray Hill-LaGuardia Airport,301879
Theater District-Flatiron District,301276
Upper West Side-Tribeca,300578
Lower East Side-SoHo,299954
West Village-Williamsburg,299913
Kips Bay-Flatiron District,298638
Chelsea-John F. Kennedy International Airport,297426
LaGuardia Airport-Williamsburg,295916
Nolita-Midtown,295103
Hell's Kitchen-Washington Heights,294980
Morningside Heights-Morningside Heights,294736
SoHo-Flatiron District,294209
Midtown-Washington Heights,293004
Financial District-Murray Hill,292793
East Village-Stuyvesant Town,291690
Williamsburg-Bedford-Stuyvesant,290134
John F. Kennedy International Airport-Murray Hill,288388
Tribeca-Lower East Side,286201
Williamsburg-Bushwick,284586
Lower East Side-Hell's Kitchen,283738
Theater District-Tribeca,283662
Harlem-Upper East Side,281681
Kips Bay-Financial District,278725
Harlem-Morningside Heights,277538
Chelsea-Nolita,276518
Theater District-Battery Park City,273442
NoHo-Upper East Side,271475
LaGuardia Airport-East Village,271126
Theater District-Gramercy,269349
Nolita-East Village,267588
Flatiron District-Gramercy,267472
Hell's Kitchen-Lower East Side,266467
Gramercy-Financial District,266052
Midtown-Sunnyside,260446
Hell's Kitchen-John F. Kennedy International Airport,260244
Theater District-Harlem,259465
Murray Hill-SoHo,256610
Nolita-Chelsea,256578
Stuyvesant Town-Upper East Side,255168
Lower East Side-Upper West Side,254052
Upper West Side-Battery Park City,253923
Upper West Side-Financial District,253779
Financial District-Greenwich Village,253673
East Village-Nolita,252407
Morningside Heights-Midtown,249338
Financial District-Upper West Side,247876
Gramercy-Flatiron District,247487
Chelsea-Chinatown,246500
Lower East Side-Murray Hill,244878
Financial District-LaGuardia Airport,244350
Upper East Side-Stuyvesant Town,242870
Chinatown-East Village,241460
Battery Park City-Theater District,239019
Battery Park City-Upper East Side,237642
Financial District-Chinatown,234619
Chinatown-Midtown,233128
Murray Hill-Lower East Side,227153
Long Island City-Midtown,226609
Williamsburg-Lower East Side,225926
LaGuardia Airport-Long Island City,224870
Financial District-Kips Bay,222816
West Village-Nolita,220930
Chelsea-Washington Heights,220764
LaGuardia Airport-Astoria,219727
East Village-East Harlem,217331
Gramercy-Tribeca,217283
John F. Kennedy International Airport-East Village,216411
Long Island City-Astoria,213992
Midtown-Greenpoint,213663
SoHo-Kips Bay,213526
Upper East Side-Williamsburg,212836
Harlem-Midtown,212713
Theater District-East Harlem,212161
trip_string,counts
Tribeca-Murray Hill,211976
Greenpoint-Williamsburg,211895
Murray Hill-John F. Kennedy International Airport,211122
Williamsburg-East Village,210515
Upper East Side-NoHo,209923
LaGuardia Airport-Harlem,209688
Tribeca-Flatiron District,206856
Gramercy-NoHo,206494
Battery Park City-Battery Park City,205842
LaGuardia Airport-LaGuardia Airport,205421
Astoria-Long Island City,205216
Greenwich Village-Battery Park City,204315
Kips Bay-SoHo,203900
East Village-Battery Park City,202578
Lower East Side-Tribeca,201308
Midtown-Ditmars Steinway,200893
NoHo-SoHo,200072
John F. Kennedy International Airport-Financial District,199191
Hell's Kitchen-Morningside Heights,198068
Stuyvesant Town-Kips Bay,197431
Flatiron District-Financial District,196755
Central Park-East Harlem,196222
Flatiron District-Flatiron District,195980
Stuyvesant Town-East Village,194943
Greenwich Village-NoHo,194942
Nolita-West Village,193616
Chelsea-Astoria,193151
Long Island City-Upper East Side,192452
Chinatown-Financial District,190869
East Village-Bedford-Stuyvesant,189596
Flatiron District-Tribeca,188254
LaGuardia Airport-West Village,187949
NoHo-Gramercy,185770
Greenwich Village-Williamsburg,185671
Tribeca-Gramercy,185127
East Village-LaGuardia Airport,182777
Chinatown-Chelsea,182033
Chelsea-Long Island City,181795
Midtown-Brooklyn Heights,181120
NoHo-Greenwich Village,179554
Hell's Kitchen-Astoria,179315
Murray Hill-Tribeca,179073
Battery Park City-Upper West Side,178449
