trip_string,counts
Vinegar Hill-Elmhurst,27
Prospect Heights-St. Albans,27
Woodside-Bath Beach,27
Chinatown-Gerritsen Beach,27
Brighton Beach-Murray Hill,27
Forest Hills-Bensonhurst,27
Civic Center-Olinville,27
Sheepshead Bay-Chinatown,27
Flushing-Cambria Heights,27
Fort Hamilton-Cypress Hills,27
Schuylerville-Country Club,27
Randall's Island-Maspeth,27
East Flatbush-Howard Beach,27
Concord-Fort Hamilton,27
East Flatbush-Springfield Gardens,27
Springfield Gardens-Canarsie,27
East Elmhurst-Coney Island,27
Riverdale-University Heights,27
Kingsbridge-Lower East Side,27
Prospect Park-Two Bridges,27
Bath Beach-Tribeca,27
Upper West Side-Silver Lake,27
Fordham-Port Morris,27
Fordham-Baychester,27
Bath Beach-Williamsburg,27
Prospect Heights-Concourse,27
Midwood-Bergen Beach,27
Park Slope-Jamaica Hills,27
Fort Hamilton-Arrochar,27
Allerton-Unionport,27
Murray Hill-Richmondtown,27
Clinton Hill-Bath Beach,27
Elmhurst-Flatlands,27
Elmhurst-Morrisania,27
Flatiron District-Grymes Hill,27
Concourse-Crown Heights,27
Fordham-Westchester Square,27
Maspeth-Red Hook,27
Little Neck-Douglaston,27
Woodhaven-Ditmars Steinway,27
South Ozone Park-Laurelton,27
Jackson Heights-Schuylerville,27
Elmhurst-University Heights,27
Forest Hills-Laurelton,27
Brooklyn Heights-Fordham,27
Woodlawn-East Harlem,27
Williamsbridge-Soundview,27
Corona-Civic Center,27
Battery Park City-Tremont,27
Downtown Brooklyn-Schuylerville,27
Columbia St-Flatlands,27
Bronxdale-Midtown,27
Tremont-Chelsea,27
Central Park-Glen Oaks,27
Howard Beach-Flatbush,27
Sunset Park-Ozone Park,27
"Tribeca-Bay Terrace, Staten Island",27
Woodside-West Farms,27
Co-op City-Throgs Neck,27
Astoria-City Island,27
Cobble Hill-Springfield Gardens,27
Downtown Brooklyn-Westchester Square,27
Williamsburg-Silver Lake,27
Soundview-Mount Hope,27
Fort Hamilton-Flatiron District,27
Van Nest-Norwood,27
Fresh Meadows-Long Island City,27
Little Italy-Throgs Neck,27
Prospect Heights-Rosedale,27
Fort Hamilton-Long Island City,27
Belmont-Soundview,27
Cypress Hills-Brooklyn Heights,27
Bushwick-Melrose,27
Springfield Gardens-Far Rockaway,27
Soundview-University Heights,27
Windsor Terrace-East New York,27
Randall's Island-Boerum Hill,27
East Flatbush-Cobble Hill,27
Melrose-West Village,27
Country Club-Throgs Neck,27
Chinatown-Far Rockaway,27
Maspeth-Mott Haven,27
Rego Park-Kensington,27
Port Morris-Crown Heights,27
Flatiron District-Pelham Bay Park,27
Greenwich Village-Grant City,27
Little Italy-Woodlawn,27
Co-op City-East Harlem,27
Cypress Hills-Civic Center,27
Briarwood-Sunset Park,27
Vinegar Hill-Jackson Heights,27
Windsor Terrace-Bath Beach,27
Douglaston-Little Neck,27
Longwood-Jackson Heights,27
Kew Gardens-Chinatown,27
Kips Bay-Sea Gate,27
LaGuardia Airport-Plum Beach,27
Parkchester-Edenwald,27
Bedford-Stuyvesant-Rockaway Beach,27
Central Park-Green-Wood Cemetery,27
Lower East Side-Stapleton,27
Civic Center-Rockaway Park,27
Queens Village-Richmond Hill,27
University Heights-Soundview,27
Rosedale-Theater District,27
Park Slope-Norwood,27
Bushwick-Bergen Beach,27
Prospect Heights-Randall's Island,27
Elmhurst-Bronxdale,27
Jamaica Estates-Woodside,27
Longwood-Crotona Park,27
Financial District-Neponsit,27
Ridgewood-Canarsie,27
Gravesend-Bergen Beach,27
North Riverdale-Fordham,27
Soundview-Tremont,27
trip_string,counts
Brooklyn Heights-St. George,26
Kingsbridge-Edenwald,26
Flatbush-Woodhaven,26
East Harlem-Little Neck,26
Mott Haven-Flatbush,26
Little Italy-Wakefield,26
Bedford-Stuyvesant-Co-op City,26
Springfield Gardens-Cypress Hills,26
NoHo-Grymes Hill,26
Unionport-East Morrisania,26
Sunset Park-Richmond Hill,26
Kew Gardens-Cambria Heights,26
Queens Village-Murray Hill,26
East New York-Brooklyn Heights,26
Fort Hamilton-Prospect-Lefferts Gardens,26
Castleton Corners-Chelsea,26
Bay Ridge-Concord,26
Bensonhurst-Chinatown,26
Morningside Heights-Douglaston,26
Nolita-Bull's Head,26
Woodside-Brighton Beach,26
Bensonhurst-Kips Bay,26
East Morrisania-Unionport,26
Throgs Neck-Fordham,26
Port Morris-Kew Gardens,26
Civic Center-Graniteville,26
Crown Heights-Rockaway Park,26
East New York-Gramercy,26
Richmondtown-Richmondtown,26
Fort Greene-Throgs Neck,26
Hunts Point-Hell's Kitchen,26
Washington Heights-Springfield Gardens,26
Woodhaven-SoHo,26
Midwood-Stuyvesant Town,26
Cypress Hills-Gramercy,26
Woodside-Bronx Park,26
Westchester Square-Norwood,26
Astoria-Edenwald,26
East Elmhurst-Castle Hill,26
Nolita-Rosedale,26
Co-op City-Pelham Gardens,26
Mill Basin-Crown Heights,26
Shore Acres-Concord,26
Ozone Park-East Harlem,26
Boerum Hill-Queens Village,26
West Farms-Clason Point,26
Riverdale-Theater District,26
Woodlawn-Inwood,26
Rego Park-Prospect Heights,26
Whitestone-Jackson Heights,26
Kingsbridge-Tribeca,26
Howard Beach-Sheepshead Bay,26
Williamsburg-Olinville,26
Rego Park-Bensonhurst,26
Bay Ridge-DUMBO,26
South Ozone Park-Bellerose,26
Midwood-Rego Park,26
Hell's Kitchen-Willowbrook,26
Co-op City-Fordham,26
Downtown Brooklyn-Silver Lake,26
Two Bridges-Kew Gardens,26
Roosevelt Island-Sunset Park,26
Dyker Heights-LaGuardia Airport,26
Clinton Hill-Parkchester,26
Park Slope-Morris Park,26
Morris Park-West Farms,26
Mount Eden-John F. Kennedy International Airport,26
Riverdale-East Harlem,26
Morningside Heights-Howard Beach,26
Bay Ridge-Mill Basin,26
Jamaica Hills-Lower East Side,26
Olinville-East Harlem,26
Rego Park-Parkchester,26
Concourse-Fieldston,26
Kensington-Cypress Hills,26
Longwood-Tribeca,26
Brownsville-Long Island City,26
Upper West Side-Oakwood,26
Highbridge-Williamsburg,26
Kew Gardens-NoHo,26
Kew Gardens Hills-Holliswood,26
Baychester-Pelham Gardens,26
Lower East Side-Pelham Bay Park,26
Brighton Beach-Tribeca,26
Cypress Hills-Flatlands,26
Forest Park-Chelsea,26
Fieldston-Marble Hill,26
Rikers Island-Ditmars Steinway,26
Downtown Brooklyn-Rockaway Beach,26
Concourse-Flushing Meadows Corona Park,26
Allerton-Mount Hope,26
Concourse-Olinville,26
Maspeth-St. Albans,26
Sunnyside-North Riverdale,26
Schuylerville-Midtown,26
Bronx Park-Central Park,26
Roosevelt Island-Kingsbridge,26
Norwood-Morrisania,26
Fort Greene-Concord,26
Carroll Gardens-Manhattan Beach,26
Borough Park-Jackson Heights,26
South Slope-Ozone Park,26
Springfield Gardens-Downtown Brooklyn,26
East Morrisania-Hell's Kitchen,26
Battery Park City-Clason Point,26
Sunset Park-Shore Acres,26
Briarwood-Downtown Brooklyn,26
Woodside-Canarsie,26
Vinegar Hill-Woodside,26
Stuyvesant Town-Concord,26
East Harlem-Bayswater,26
Middle Village-West Village,26
Fort Hamilton-Chinatown,26
Wakefield-Co-op City,26
Carroll Gardens-Concord,26
Lower East Side-Huguenot,26
Flushing-Morris Park,26
Bellerose-Little Neck,26
Long Island City-Eastchester,26
Astoria-Olinville,26
Jackson Heights-Holliswood,26
Bay Ridge-Elmhurst,26
Kew Gardens-Stuyvesant Town,26
Carroll Gardens-Concourse Village,26
Rosedale-Queens Village,26
Upper West Side-Bayswater,26
Unionport-Williamsbridge,26
Howard Beach-Crown Heights,26
SoHo-Broad Channel,26
Pelham Bay-Soundview,26
Rego Park-South Slope,26
Marble Hill-Concourse,26
East Morrisania-Chelsea,26
Downtown Brooklyn-Laurelton,26
Melrose-Tribeca,26
College Point-Kew Gardens Hills,26
John F. Kennedy International Airport-Pleasant Plains,26
Bronx Park-Chelsea,26
Upper West Side-Arden Heights,26
Brighton Beach-East New York,26
SoHo-Oakwood,26
Rego Park-Mott Haven,26
Financial District-Willowbrook,26
East Morrisania-Mount Hope,26
Jamaica-Gravesend,26
Jackson Heights-Windsor Terrace,26
Jackson Heights-Morris Park,26
Mount Hope-Williamsbridge,26
Hollis-Bellerose,26
Glen Oaks-Bellerose,26
Rego Park-Fort Hamilton,26
Morris Park-Schuylerville,26
trip_string,counts
Downtown Brooklyn-Concord,25
Carroll Gardens-College Point,25
Marble Hill-Mott Haven,25
Clason Point-Midtown,25
Prospect Park-Maspeth,25
College Point-Maspeth,25
Canarsie-West Village,25
Flatlands-Lower East Side,25
Bergen Beach-Flatbush,25
Concourse-Spuyten Duyvil,25
Woodside-Flatlands,25
Queens Village-Cunningham Park,25
Murray Hill-Mariners Harbor,25
Canarsie-Upper West Side,25
Inwood-Westchester Square,25
Sheepshead Bay-Forest Hills,25
Prospect-Lefferts Gardens-Rego Park,25
Edenwald-Williamsbridge,25
Fordham-Hunts Point,25
Bushwick-Mill Basin,25
Highbridge-East Elmhurst,25
Battery Park City-Tottenville,25
Flushing Meadows Corona Park-East New York,25
Williamsbridge-Parkchester,25
Ozone Park-Fort Greene,25
Crown Heights-Kingsbridge,25
Woodhaven-Gramercy,25
Stuyvesant Town-Edenwald,25
Edgemere-Arverne,25
Van Nest-LaGuardia Airport,25
Bronxdale-Upper West Side,25
Long Island City-Edgemere,25
Bensonhurst-SoHo,25
Nolita-Castleton Corners,25
Gramercy-Mariners Harbor,25
East Flatbush-Bensonhurst,25
Flushing Meadows Corona Park-Prospect Heights,25
Sheepshead Bay-Plum Beach,25
Soundview-Olinville,25
Flushing Meadows Corona Park-Forest Park,25
Murray Hill-Ferry Point Park,25
Sunset Park-Roosevelt Island,25
Boerum Hill-Manhattan Beach,25
Park Slope-Port Morris,25
Prospect Park-East Elmhurst,25
Bronxdale-Longwood,25
Concourse-NoHo,25
Mott Haven-North Riverdale,25
Clinton Hill-St. Albans,25
Mount Hope-John F. Kennedy International Airport,25
Upper East Side-Fort Wadsworth,25
Schuylerville-Mott Haven,25
Co-op City-Midtown,25
Maspeth-Prospect-Lefferts Gardens,25
Bedford-Stuyvesant-Belmont,25
Olinville-Harlem,25
Concourse Village-Bronx Park,25
Soundview-Central Park,25
Belmont-Theater District,25
University Heights-LaGuardia Airport,25
Melrose-Williamsbridge,25
Concourse Village-Flatiron District,25
Castleton Corners-Huguenot,25
Flushing Meadows Corona Park-St. Albans,25
Forest Hills-Longwood,25
Flushing Meadows Corona Park-Bellerose,25
Dyker Heights-Midwood,25
Maspeth-Borough Park,25
Queens Village-Elmhurst,25
Coney Island-Williamsburg,25
Forest Hills-Westchester Square,25
Richmond Hill-Boerum Hill,25
Rego Park-Highbridge,25
Flushing Meadows Corona Park-Sunset Park,25
Morris Park-John F. Kennedy International Airport,25
East New York-Bay Ridge,25
Greenpoint-Coney Island,25
Cambria Heights-Hell's Kitchen,25
Bronx Park-Longwood,25
Throgs Neck-Washington Heights,25
Cypress Hills-Woodside,25
Marine Park-Midtown,25
Queens Village-Briarwood,25
South Slope-Glendale,25
Borough Park-East New York,25
Hunts Point-Fordham,25
DUMBO-Jamaica Estates,25
Allerton-Claremont Village,25
East Flatbush-Sunnyside,25
Upper East Side-Huguenot,25
Bushwick-Hollis,25
Battery Park City-Tompkinsville,25
Flatiron District-Grant City,25
West Farms-Chelsea,25
Midwood-Sunnyside,25
Woodside-Pelham Bay,25
Ozone Park-Greenpoint,25
Stuyvesant Town-Woodrow,25
Ridgewood-NoHo,25
Flatlands-Greenwich Village,25
Canarsie-LaGuardia Airport,25
Bergen Beach-Sheepshead Bay,25
Marine Park-East New York,25
DUMBO-Woodhaven,25
Longwood-Ditmars Steinway,25
Soundview-Theater District,25
Central Park-Concord,25
Kingsbridge-Williamsburg,25
Morningside Heights-Crotona Park,25
Fort Hamilton-Gramercy,25
Highbridge-SoHo,25
Gravesend-Gerritsen Beach,25
Jamaica Estates-Rego Park,25
Battery Park City-Floral Park,25
Cypress Hills-Rego Park,25
Wakefield-Midtown,25
East Morrisania-Bronx Park,25
Ditmars Steinway-Brownsville,25
Ozone Park-Brownsville,25
Kensington-Flushing,25
Fort Greene-West Farms,25
Midtown-Pleasant Plains,25
Green-Wood Cemetery-Prospect Heights,25
NoHo-Belle Harbor,25
Brooklyn Heights-Parkchester,25
Howard Beach-Upper West Side,25
Norwood-Marble Hill,25
East New York-Midwood,25
Long Island City-Green-Wood Cemetery,25
Battery Park City-Bellerose,25
Fort Greene-Morris Park,25
Borough Park-Cobble Hill,25
East New York-Queens Village,25
Unionport-Morrisania,25
Carroll Gardens-Parkchester,25
Williamsburg-Arverne,25
Stuyvesant Town-Olinville,25
Fort Greene-Laurelton,25
Greenpoint-Queens Village,25
East Morrisania-Allerton,25
trip_string,counts
St. Albans-Laurelton,24
Prospect-Lefferts Gardens-Concourse Village,24
Central Park-Manhattan Beach,24
Forest Hills-Fort Hamilton,24
East Village-Ferry Point Park,24
Woodhaven-Brownsville,24
Governors Island-Midtown,24
Morris Heights-West Village,24
South Ozone Park-Far Rockaway,24
Kew Gardens-Far Rockaway,24
Bushwick-Green-Wood Cemetery,24
Ozone Park-Briarwood,24
Coney Island-Chelsea,24
Brownsville-Prospect Park,24
Richmond Hill-Fresh Meadows,24
Forest Hills-East Morrisania,24
Harlem-Mill Basin,24
Jamaica Estates-Harlem,24
Clason Point-Throgs Neck,24
Mott Haven-Jamaica Hills,24
Flushing Meadows Corona Park-Canarsie,24
Gramercy-Cunningham Park,24
NoHo-Cambria Heights,24
Civic Center-New Springville,24
Westchester Square-Kingsbridge,24
Park Slope-Highbridge,24
Mott Haven-Crotona Park,24
Flushing-Prospect Heights,24
East Morrisania-Hunts Point,24
College Point-Financial District,24
NoHo-Graniteville,24
Greenpoint-Throgs Neck,24
Kensington-Rego Park,24
Sunset Park-Mott Haven,24
Forest Hills-Windsor Terrace,24
Olinville-Parkchester,24
Van Nest-Kingsbridge,24
NoHo-Edenwald,24
Highbridge-Lower East Side,24
DUMBO-Concourse,24
Rego Park-Co-op City,24
Little Italy-Bay Terrace,24
Inwood-Clinton Hill,24
Greenpoint-Morrisania,24
Flatbush-Inwood,24
Rockaway Beach-Rockaway Park,24
East New York-Glendale,24
Bushwick-Jamaica Hills,24
Melrose-Flatiron District,24
Vinegar Hill-Gravesend,24
Flushing-Rosedale,24
Navy Yard-Central Park,24
Mott Haven-Spuyten Duyvil,24
Cypress Hills-Greenpoint,24
Roosevelt Island-East Flatbush,24
Ridgewood-Nolita,24
Woodside-Tremont,24
Jamaica-Fordham,24
Belmont-Wakefield,24
Coney Island-Upper East Side,24
East Flatbush-Central Park,24
Clinton Hill-Forest Park,24
Tremont-Williamsbridge,24
Belmont-John F. Kennedy International Airport,24
Throgs Neck-Castle Hill,24
Springfield Gardens-Forest Hills,24
Ditmars Steinway-Floral Park,24
Woodhaven-West Village,24
Woodhaven-Lower East Side,24
East Flatbush-DUMBO,24
Schuylerville-Washington Heights,24
Roosevelt Island-Boerum Hill,24
Midwood-Elmhurst,24
East Village-Tottenville,24
Upper East Side-Grant City,24
Inwood-Olinville,24
Park Slope-Bull's Head,24
Brooklyn Heights-Jamaica Hills,24
SoHo-Rosebank,24
Ditmars Steinway-Springfield Gardens,24
SoHo-Prince's Bay,24
East New York-Fort Hamilton,24
Jamaica Hills-Bellerose,24
Jamaica Hills-Holliswood,24
Gravesend-Astoria,24
Parkchester-Flatiron District,24
Soundview-Kips Bay,24
Gramercy-Prince's Bay,24
Unionport-Highbridge,24
Howard Beach-Chelsea,24
Concourse Village-Tribeca,24
Murray Hill-Bayswater,24
Cunningham Park-Queens Village,24
East Harlem-Castleton Corners,24
Middle Village-Financial District,24
Jackson Heights-Bronxdale,24
Mill Basin-Gravesend,24
Flatlands-Clinton Hill,24
Rockaway Beach-Arverne,24
Borough Park-NoHo,24
Woodlawn-Washington Heights,24
Bensonhurst-Marine Park,24
Cypress Hills-Astoria,24
Green-Wood Cemetery-Bay Ridge,24
East Morrisania-Kingsbridge,24
West Village-New Dorp Beach,24
Howard Beach-Upper East Side,24
Red Hook-Canarsie,24
Little Italy-Queens Village,24
Canarsie-East Village,24
Van Nest-Williamsbridge,24
College Point-Harlem,24
Washington Heights-Holliswood,24
Gravesend-Carroll Gardens,24
Norwood-Fieldston,24
Battery Park City-Baychester,24
Kew Gardens Hills-Middle Village,24
Park Slope-Breezy Point,24
Brighton Beach-Dyker Heights,24
Glendale-Murray Hill,24
Bronx Park-Mott Haven,24
Two Bridges-Cypress Hills,24
Carroll Gardens-Fordham,24
John F. Kennedy International Airport-Freshkills Park,24
Brighton Beach-Battery Park City,24
Bayside-Jamaica Estates,24
Queens Village-Jamaica Hills,24
Fordham-Clason Point,24
DUMBO-Ozone Park,24
Soundview-Astoria,24
Concourse-Van Cortlandt Park,24
Brighton Beach-East Village,24
Greenwich Village-Fort Wadsworth,24
Columbia St-Rego Park,24
Downtown Brooklyn-Bull's Head,24
Sunnyside-Tremont,24
Bensonhurst-Flatlands,24
Brighton Beach-East Flatbush,24
Clinton Hill-Mill Basin,24
Kensington-Maspeth,24
East Morrisania-Wakefield,24
Westchester Square-East Village,24
Sunset Park-Bergen Beach,24
Allerton-LaGuardia Airport,24
Maspeth-Midwood,24
Van Nest-Pelham Gardens,24
trip_string,counts
Kew Gardens-Park Slope,23
Allerton-Chelsea,23
Morrisania-John F. Kennedy International Airport,23
Prospect Heights-St. George,23
Bedford-Stuyvesant-Bayswater,23
Morris Park-Bronx Park,23
Randall's Island-Kingsbridge,23
Bronxdale-Williamsbridge,23
Prospect Heights-Highbridge,23
Tremont-Inwood,23
Greenwich Village-Cunningham Park,23
Concourse-Fort Greene,23
Roosevelt Island-Flushing Meadows Corona Park,23
Jamaica Estates-Corona,23
Flatlands-Bensonhurst,23
Fort Greene-Whitestone,23
East Village-Richmondtown,23
Bellerose-Hell's Kitchen,23
Jamaica Hills-SoHo,23
Chinatown-Emerson Hill,23
West Farms-Pelham Bay,23
Roosevelt Island-Kew Gardens Hills,23
Kingsbridge-Greenwich Village,23
Hunts Point-Concourse Village,23
Flushing-Gowanus,23
Ozone Park-Central Park,23
Baychester-Norwood,23
Tremont-John F. Kennedy International Airport,23
West Farms-Hell's Kitchen,23
Chinatown-Hollis Hills,23
Civic Center-Castle Hill,23
Mount Eden-East Village,23
Morrisania-Co-op City,23
Bronx Park-Wakefield,23
Randall's Island-Roosevelt Island,23
Kingsbridge-Jackson Heights,23
College Point-Central Park,23
Green-Wood Cemetery-Carroll Gardens,23
Hollis-Richmond Hill,23
Morris Heights-Throgs Neck,23
Woodside-Castle Hill,23
Prospect Park-Forest Hills,23
Forest Park-Woodside,23
Rego Park-Bay Terrace,23
Central Park-Pelham Bay Park,23
Unionport-Pelham Gardens,23
Park Slope-Castleton Corners,23
Flatiron District-Tompkinsville,23
St. Albans-Midtown,23
Washington Heights-Forest Park,23
Kew Gardens Hills-SoHo,23
Floyd Bennett Field-Mill Basin,23
Richmond Hill-Clinton Hill,23
Two Bridges-Mount Hope,23
Little Italy-Claremont Village,23
Fresh Meadows-Queens Village,23
University Heights-Williamsbridge,23
Soundview-Morningside Heights,23
Woodside-Dyker Heights,23
East Flatbush-Forest Hills,23
Tribeca-Rosebank,23
Chelsea-Pleasant Plains,23
Fort Greene-Gerritsen Beach,23
Green-Wood Cemetery-Prospect-Lefferts Gardens,23
Bushwick-Rosedale,23
Chinatown-Rockaway Beach,23
Gramercy-Arverne,23
Allerton-Edenwald,23
Concourse Village-Woodlawn,23
Flatlands-Jamaica,23
Canarsie-Clinton Hill,23
Belmont-Unionport,23
Morningside Heights-Bay Terrace,23
Inwood-Jamaica,23
Chinatown-Arrochar,23
Kips Bay-Crotona Park,23
Cunningham Park-Lower East Side,23
Woodlawn-Belmont,23
Flushing Meadows Corona Park-Woodhaven,23
Fresh Meadows-Bellerose,23
Belmont-Melrose,23
Port Morris-Civic Center,23
Elmhurst-Vinegar Hill,23
East Flatbush-Nolita,23
Hell's Kitchen-Latourette Park,23
Sunnyside-Marine Park,23
Morris Heights-Bronxdale,23
University Heights-East Morrisania,23
Stuyvesant Town-Douglaston,23
Flushing-Melrose,23
Battery Park City-Mariners Harbor,23
Morris Heights-Morris Park,23
Pelham Bay-Mott Haven,23
Tremont-Bronx Park,23
Fresh Meadows-Richmond Hill,23
Brighton Beach-Brooklyn Heights,23
Gerritsen Beach-Sheepshead Bay,23
Bellerose-Richmond Hill,23
Kew Gardens Hills-Hollis Hills,23
Murray Hill-Huguenot,23
Jamaica-Columbia St,23
Far Rockaway-Edgemere,23
Far Rockaway-John F. Kennedy International Airport,23
Fort Hamilton-Morningside Heights,23
Bayside-Upper West Side,23
Whitestone-LaGuardia Airport,23
Dyker Heights-East Village,23
Navy Yard-Prospect Park,23
Civic Center-Stapleton,23
Bronx Park-Morris Park,23
Hunts Point-Claremont Village,23
Upper West Side-Prince's Bay,23
Park Slope-Allerton,23
Little Italy-Mount Hope,23
Briarwood-Crown Heights,23
East Harlem-Glen Oaks,23
Jamaica-Concourse,23
Highbridge-Williamsbridge,23
Morrisania-Kips Bay,23
Richmond Hill-Cambria Heights,23
Kew Gardens Hills-Downtown Brooklyn,23
Sunnyside-Cambria Heights,23
Kingsbridge-Hunts Point,23
East Harlem-Green-Wood Cemetery,23
Howard Beach-Bedford-Stuyvesant,23
Longwood-Eastchester,23
Co-op City-Harlem,23
Elmhurst-Little Neck,23
Williamsburg-Broad Channel,23
Jackson Heights-Navy Yard,23
Elmhurst-Cambria Heights,23
Castleton Corners-Emerson Hill,23
Cypress Hills-Forest Hills,23
Fort Greene-West Brighton,23
Concourse Village-Westchester Square,23
Norwood-Theater District,23
Cypress Hills-Flatiron District,23
Unionport-Long Island City,23
Windsor Terrace-Two Bridges,23
Fort Hamilton-East Harlem,23
Ditmars Steinway-Brighton Beach,23
Dyker Heights-Murray Hill,23
Elmhurst-Brighton Beach,23
Wakefield-Upper East Side,23
East Elmhurst-Mill Basin,23
Concourse-Edenwald,23
Bayside-Corona,23
Whitestone-Douglaston,23
Tribeca-Grant City,23
Williamsbridge-Midtown,23
Springfield Gardens-Stuyvesant Town,23
Fordham-Financial District,23
Carroll Gardens-Soundview,23
East Flatbush-NoHo,23
Morrisania-Theater District,23
Schuylerville-Morris Park,23
Concourse-Pelham Gardens,23
Mount Eden-Wakefield,23
trip_string,counts
Mott Haven-Park Slope,22
Brooklyn Heights-Claremont Village,22
Pelham Bay-Longwood,22
Vinegar Hill-Bensonhurst,22
Morris Heights-Castle Hill,22
Pelham Bay-Kingsbridge,22
Bronxdale-Throgs Neck,22
Melrose-Williamsburg,22
Flatbush-Gerritsen Beach,22
Kingsbridge-Bedford-Stuyvesant,22
Bedford-Stuyvesant-Tremont,22
Sheepshead Bay-Jamaica,22
Springfield Gardens-Jackson Heights,22
East Morrisania-Morris Heights,22
Prospect Heights-Riverdale,22
Jackson Heights-Pelham Bay,22
Woodlawn-Upper West Side,22
Elmhurst-Pelham Bay,22
Williamsburg-Stapleton,22
Richmond Hill-Laurelton,22
Two Bridges-Flushing Meadows Corona Park,22
Nolita-Gerritsen Beach,22
Borough Park-Sunnyside,22
Battery Park City-New Dorp,22
Rego Park-Randall's Island,22
Flatbush-Springfield Gardens,22
Flushing Meadows Corona Park-Bay Terrace,22
Howard Beach-Williamsburg,22
Hunts Point-Chelsea,22
Bayside-Murray Hill,22
Gravesend-East Harlem,22
Maspeth-Springfield Gardens,22
Floyd Bennett Field-Marine Park,22
East Elmhurst-Eastchester,22
Kew Gardens-East Flatbush,22
Greenpoint-Holliswood,22
Clinton Hill-Randall's Island,22
Brooklyn Heights-West Brighton,22
Navy Yard-Ditmars Steinway,22
Central Park-Laurelton,22
SoHo-Bayswater,22
Tremont-Crotona Park,22
Battery Park City-Laurelton,22
South Slope-Flushing Meadows Corona Park,22
Forest Park-Hell's Kitchen,22
Flatlands-South Ozone Park,22
Nolita-Concord,22
Gramercy-Rossville,22
Murray Hill-Alley Pond Park,22
Wakefield-Mott Haven,22
Prospect Heights-Manhattan Beach,22
Rego Park-Rosedale,22
Jamaica Hills-Harlem,22
Park Slope-Soundview,22
South Ozone Park-College Point,22
College Point-Bay Terrace,22
Marine Park-Brighton Beach,22
Bay Ridge-Woodside,22
Morningside Heights-Laurelton,22
Kips Bay-Tottenville,22
Lower East Side-Cunningham Park,22
Downtown Brooklyn-Stapleton,22
Randall's Island-Elmhurst,22
Upper West Side-Huguenot,22
Cobble Hill-Bayside,22
Brighton Beach-Carroll Gardens,22
Throgs Neck-Allerton,22
Jamaica Estates-Financial District,22
Flushing-Midwood,22
Cobble Hill-Howard Beach,22
Maspeth-Windsor Terrace,22
Prospect Park-Coney Island,22
Jackson Heights-Belmont,22
Prospect-Lefferts Gardens-Woodhaven,22
Stuyvesant Town-Pelham Bay Park,22
Bergen Beach-Financial District,22
Unionport-Flushing,22
West Village-Cunningham Park,22
Mount Hope-Port Morris,22
College Point-East Harlem,22
Springfield Gardens-Inwood,22
Cypress Hills-Jackson Heights,22
Gramercy-Park Hill,22
Prospect Heights-Bay Terrace,22
Battery Park City-Olinville,22
Greenpoint-Hollis,22
Longwood-Olinville,22
Highbridge-Pelham Bay,22
Nolita-West Brighton,22
Edgemere-Upper East Side,22
Brownsville-Upper West Side,22
Westchester Square-Williamsbridge,22
Maspeth-Inwood,22
South Ozone Park-DUMBO,22
Columbia St-Springfield Gardens,22
Norwood-Highbridge,22
Longwood-Stuyvesant Town,22
Nolita-Hollis Hills,22
Flatlands-Brooklyn Heights,22
Marble Hill-Highbridge,22
Little Italy-Pelham Bay,22
Boerum Hill-Whitestone,22
Morrisania-Financial District,22
Flushing-Carroll Gardens,22
Randall's Island-Concourse Village,22
South Ozone Park-Mott Haven,22
Melrose-East Elmhurst,22
Flushing-Westchester Square,22
Flushing-Holliswood,22
Jamaica-Concourse Village,22
Mott Haven-East Flatbush,22
Concourse-Baychester,22
Flatbush-Glendale,22
Williamsbridge-Belmont,22
Battery Park City-Silver Lake,22
"Greenwich Village-Bay Terrace, Staten Island",22
East New York-Far Rockaway,22
Vinegar Hill-Wakefield,22
Canarsie-Marine Park,22
Theater District-Neponsit,22
Flatlands-Chinatown,22
University Heights-Unionport,22
East New York-Marine Park,22
Coney Island-Upper West Side,22
Roosevelt Island-Port Morris,22
South Ozone Park-Prospect Park,22
Prospect Heights-Bronxdale,22
Throgs Neck-Kingsbridge,22
Prospect-Lefferts Gardens-Glendale,22
Civic Center-Gerritsen Beach,22
South Ozone Park-Dyker Heights,22
Brownsville-Howard Beach,22
Gravesend-South Slope,22
Battery Park City-Rossville,22
Cobble Hill-Jamaica Estates,22
Bronx Park-Concourse,22
Port Morris-Flushing,22
Hunts Point-Morrisania,22
Park Slope-Concord,22
Brooklyn Heights-Forest Park,22
Allerton-Tremont,22
Howland Hook-Howland Hook,22
Kips Bay-Grymes Hill,22
Vinegar Hill-East Elmhurst,22
Fordham-Kips Bay,22
Morris Heights-Hunts Point,22
Bay Ridge-Castleton Corners,22
Claremont Village-Throgs Neck,22
Bedford-Stuyvesant-Norwood,22
Marble Hill-LaGuardia Airport,22
Prospect Heights-Queens Village,22
Norwood-Pelham Gardens,22
Stuyvesant Town-Floyd Bennett Field,22
Flushing-Howard Beach,22
Highbridge-Bronxdale,22
Kips Bay-Arverne,22
South Ozone Park-Bath Beach,22
Wakefield-Washington Heights,22
Fort Greene-Far Rockaway,22
NoHo-Baychester,22
Borough Park-Stuyvesant Town,22
Kensington-Jamaica,22
Chinatown-Belle Harbor,22
Laurelton-St. Albans,22
Civic Center-Hollis Hills,22
Springfield Gardens-Flushing Meadows Corona Park,22
Upper West Side-Edgemere,22
Flatlands-Long Island City,22
