FY,trip_string,total_trips
Year2,South Ozone Park-Gravesend,14
Year1,Marine Park-Brighton Beach,6
Year0,Bushwick-Bensonhurst,18
Year3,Bay Ridge-Elmhurst,4
Year0,Long Island City-Unionport,60
Year1,Greenpoint-Flushing,300
Year1,Upper East Side-Green-Wood Cemetery,51
Year3,Stuyvesant Town-Bayside,49
Year3,Woodside-Kew Gardens Hills,68
Year1,Roosevelt Island-Central Park,176
Year2,Clinton Hill-Marine Park,11
Year0,Corona-Springfield Gardens,3
Year1,Bushwick-Central Park,86
Year2,Red Hook-Tribeca,166
Year2,Crown Heights-Concourse Village,9
Year3,Ditmars Steinway-Unionport,33
Year2,Prospect Heights-Highbridge,7
Year0,Windsor Terrace-Midwood,63
Year3,Cobble Hill-Ridgewood,74
Year3,Two Bridges-Jamaica,9
Year0,Chelsea-Pleasant Plains,6
Year1,East Flatbush-Greenwich Village,27
Year0,Long Island City-Riverdale,66
Year2,Mount Eden-Concourse,133
Year0,Hell's Kitchen-Laurelton,82
Year1,Vinegar Hill-Fort Hamilton,12
Year0,East Elmhurst-Alley Pond Park,11
Year1,Red Hook-Kips Bay,72
Year0,Jamaica-Cypress Hills,19
Year0,Morningside Heights-Cypress Hills,14
Year1,Vinegar Hill-NoHo,61
Year3,Hollis-John F. Kennedy International Airport,11
Year1,Kew Gardens Hills-Sunnyside,20
Year3,Briarwood-Fort Greene,7
Year0,Bronxdale-Belmont,14
Year1,Little Italy-Maspeth,128
Year3,South Ozone Park-Fort Greene,32
Year3,Jackson Heights-Soundview,20
Year1,Ridgewood-Gowanus,8
Year3,Williamsburg-St. Albans,19
Year2,Midwood-Chinatown,9
Year2,Jamaica Hills-Flushing Meadows Corona Park,30
Year1,South Ozone Park-Springfield Gardens,82
Year2,Financial District-Emerson Hill,79
Year2,Prospect-Lefferts Gardens-Queens Village,2
Year1,Chelsea-Westerleigh,31
Year0,Brighton Beach-Coney Island,36
Year3,Tribeca-Woodlawn,115
Year2,Unionport-Bronxdale,20
Year0,Central Park-Mill Basin,10
Year3,Flushing Meadows Corona Park-Ditmars Steinway,37
Year1,Stuyvesant Town-Schuylerville,11
Year1,Coney Island-SoHo,1
Year0,Cypress Hills-Lower East Side,21
Year3,Crown Heights-Whitestone,4
Year1,Harlem-City Island,21
Year0,East Village-Bull's Head,40
Year1,Tremont-Mount Hope,20
Year2,Latourette Park-Midtown,1
Year0,Little Italy-Springfield Gardens,16
Year3,Woodhaven-Glendale,30
Year3,Highbridge-Norwood,21
Year2,Fresh Meadows-Bayside,52
Year0,Van Nest-Harlem,8
Year2,Murray Hill-Randall Manor,30
Year1,Ditmars Steinway-Navy Yard,30
Year1,Clason Point-Midtown,5
Year3,Flatbush-Rego Park,7
Year0,Long Island City-Douglaston,41
Year2,Forest Hills-East Village,90
Year3,Springfield Gardens-Central Park,10
Year2,Flatiron District-Pelham Bay Park,6
Year3,Upper East Side-Neponsit,12
Year3,Fort Hamilton-Brooklyn Heights,10
Year3,Sheepshead Bay-Prospect Park,10
Year0,Throgs Neck-Upper West Side,13
Year3,University Heights-Allerton,11
Year3,Dyker Heights-Park Slope,13
Year0,Todt Hill-Todt Hill,69
Year3,Baychester-Morningside Heights,1
Year2,Two Bridges-Navy Yard,6
Year2,Bushwick-Kingsbridge,12
Year0,Bensonhurst-Clinton Hill,5
Year3,Maspeth-Central Park,45
Year3,Mott Haven-Flushing,21
Year3,Elmhurst-Red Hook,13
Year0,Gravesend-Financial District,17
Year2,Windsor Terrace-Ditmars Steinway,5
Year0,Howard Beach-Mill Basin,2
Year2,Windsor Terrace-Battery Park City,39
Year2,Norwood-Concourse Village,12
Year1,Riverdale-Woodside,1
Year2,Gravesend-Queens Village,1
Year1,Washington Heights-Baychester,20
Year2,Red Hook-Canarsie,13
Year0,Astoria-Schuylerville,49
Year1,Morningside Heights-City Island,9
Year1,Red Hook-Emerson Hill,3
Year3,Ditmars Steinway-Wakefield,11
Year0,Murray Hill-Woodrow,9
Year3,Upper East Side-Port Richmond,7
Year1,Kew Gardens Hills-Cunningham Park,1
Year0,Corona-Greenwich Village,63
Year3,Astoria-Williamsbridge,13
Year1,Crown Heights-Mill Basin,14
Year0,Soundview-Throgs Neck,22
Year3,Chinatown-Castle Hill,32
Year3,Parkchester-Long Island City,3
Year1,Brooklyn Heights-Sea Gate,8
Year0,Jackson Heights-Throgs Neck,5
Year0,Castleton Corners-South Beach,2
Year1,Throgs Neck-Castle Hill,5
Year1,Fresh Meadows-Cunningham Park,11
Year0,SoHo-Belle Harbor,11
Year2,Civic Center-Parkchester,55
Year2,University Heights-Morningside Heights,6
Year2,Queens Village-East Elmhurst,3
Year3,Pelham Gardens-Allerton,17
Year1,Jackson Heights-Bergen Beach,4
Year1,Richmond Hill-Sunset Park,6
Year2,Little Italy-Fresh Meadows,7
Year2,Hell's Kitchen-Eastchester,76
Year2,Edenwald-Fordham,3
Year3,Ditmars Steinway-Little Italy,13
Year3,Morris Park-Morris Heights,1
Year0,Tribeca-Van Nest,24
Year2,Norwood-Midtown,22
Year0,Williamsbridge-Kips Bay,1
Year3,Kensington-Ozone Park,6
Year0,Corona-Flatbush,1
Year2,Ditmars Steinway-Kensington,21
Year1,Nolita-Floral Park,5
Year2,Jackson Heights-Hunts Point,39
Year1,Jamaica Bay-Kips Bay,1
Year2,Richmond Hill-Rockaway Park,2
Year1,Williamsburg-Van Cortlandt Park,12
Year0,Tribeca-Midland Beach,11
Year3,Ozone Park-East Flatbush,13
Year0,Gravesend-Williamsburg,13
Year3,Bayside-College Point,14
Year3,Melrose-John F. Kennedy International Airport,14
Year0,Hunts Point-Vinegar Hill,1
Year3,Borough Park-Jackson Heights,9
Year1,Mill Basin-Midtown,4
Year2,Gramercy-Eltingville,4
Year1,East Morrisania-Inwood,2
Year1,Woodhaven-Sunset Park,5
Year1,Middle Village-Whitestone,5
Year2,Bedford-Stuyvesant-Kew Gardens Hills,15
Year0,Richmond Hill-Corona,25
Year2,Bay Ridge-Corona,3
Year2,Gramercy-Mariners Harbor,5
Year0,Cobble Hill-Kew Gardens,11
Year1,Whitestone-Jamaica Estates,2
Year2,Queens Village-Crown Heights,3
Year3,Stuyvesant Town-Shore Acres,2
Year0,Marine Park-Plum Beach,2
Year0,Civic Center-New Dorp,2
Year1,Williamsburg-Neponsit,1
Year1,Concourse-Wakefield,25
Year2,Columbia St-Arverne,1
Year0,Clason Point-Elmhurst,1
Year3,Harlem-Tompkinsville,1
Year3,Maspeth-Gravesend,5
Year1,Prospect Heights-Country Club,1
Year3,Jackson Heights-Williamsbridge,2
Year1,Vinegar Hill-Jamaica,4
Year3,Carroll Gardens-Gerritsen Beach,5
Year1,Forest Hills-Gravesend,8
Year3,Far Rockaway-East Flatbush,2
Year2,Jamaica-Boerum Hill,8
Year2,Prospect-Lefferts Gardens-Springfield Gardens,6
Year2,Ditmars Steinway-Van Cortlandt Park,8
Year3,Little Italy-Mount Eden,6
Year3,Bushwick-Rockaway Beach,5
Year2,Kew Gardens-Sunset Park,4
Year2,Mariners Harbor-Crown Heights,1
Year0,Bayside-Rego Park,3
Year3,Whitestone-Longwood,1
Year0,Holliswood-Richmond Hill,2
Year1,Westchester Square-Castle Hill,7
Year3,Cunningham Park-Lower East Side,2
Year3,Edenwald-Baychester,4
Year0,Battery Park City-Governors Island,4
Year3,Cambria Heights-Jamaica Estates,2
Year1,University Heights-Park Slope,1
Year0,Long Island City-Mill Basin,4
Year2,Little Neck-Upper East Side,1
Year2,Brighton Beach-Plum Beach,2
Year2,Longwood-Little Italy,1
Year0,Prospect Park-Roosevelt Island,3
Year3,Corona-Throgs Neck,2
Year2,Kew Gardens Hills-Harlem,7
Year0,Bensonhurst-Bedford-Stuyvesant,7
Year3,Flushing-Dyker Heights,2
Year2,Jamaica Estates-Cambria Heights,2
Year0,Downtown Brooklyn-Eltingville,3
Year3,Soundview-Greenwich Village,3
Year3,Stuyvesant Town-Springfield Gardens,6
Year0,Cobble Hill-Mill Basin,4
Year0,Flushing Meadows Corona Park-University Heights,1
Year2,St. Albans-Far Rockaway,2
Year1,Port Richmond-Bay Ridge,1
Year3,Red Hook-Shore Acres,1
Year3,College Point-Bay Terrace,5
Year1,Kew Gardens-Concourse,4
Year0,Woodlawn-Harlem,6
Year1,Eastchester-Bayside,1
Year0,Ditmars Steinway-Port Richmond,1
Year3,Canarsie-Boerum Hill,2
Year2,Morris Park-Hell's Kitchen,2
Year3,Dyker Heights-Gramercy,1
Year1,Castleton Corners-Theater District,1
Year1,Schuylerville-Longwood,9
Year3,Rego Park-Floral Park,3
Year3,Jamaica Estates-Van Cortlandt Park,1
Year3,Brownsville-Chinatown,7
Year1,Parkchester-Van Cortlandt Park,2
Year0,Woodside-Floyd Bennett Field,1
Year0,Norwood-Inwood,8
Year0,Woodhaven-Whitestone,1
Year3,South Ozone Park-Longwood,3
Year1,Eastchester-LaGuardia Airport,1
Year3,Mount Eden-Bath Beach,1
Year2,Pelham Bay-Clason Point,7
Year2,"Bay Terrace, Staten Island-Bay Terrace, Staten Island",2
Year0,Cypress Hills-Jamaica Estates,2
Year3,Edenwald-Morrisania,2
Year0,Morris Park-Flushing,2
Year1,Kingsbridge-Country Club,1
Year1,Jackson Heights-Woodlawn,3
Year3,Flatiron District-Grant City,4
Year2,Claremont Village-East Elmhurst,2
Year3,Kensington-Woodhaven,3
Year0,City Island-Financial District,1
Year2,Tribeca-Pelham Bay Park,3
Year2,Two Bridges-Springfield Gardens,5
Year0,Morrisania-Bedford-Stuyvesant,1
Year1,Latourette Park-Greenwich Village,1
Year2,Park Slope-Throgs Neck,2
Year1,Murray Hill-New Dorp Beach,5
Year3,Stapleton-Arrochar,3
Year3,Hollis-Harlem,2
Year1,Williamsburg-Freshkills Park,1
Year2,St. George-Shore Acres,2
Year3,Riverdale-Bayside,1
Year3,Baychester-Morris Heights,4
Year1,Bath Beach-Chinatown,2
Year2,Maspeth-Throgs Neck,2
Year0,Chinatown-Woodrow,4
Year2,Bloomfield-Park Slope,2
Year2,Great Kills-Eltingville,2
Year2,East New York-Clifton,1
Year2,Woodhaven-Park Slope,1
Year2,Allerton-West Village,2
Year3,Williamsbridge-John F. Kennedy International Airport,2
Year1,Parkchester-Sunnyside,2
Year0,Pelham Bay Park-Port Morris,1
Year0,Corona-East Flatbush,1
Year3,Rosedale-Edenwald,1
Year2,Melrose-Morris Park,6
Year2,Richmond Hill-Windsor Terrace,2
Year2,Belle Harbor-East Flatbush,1
Year0,Middle Village-Broad Channel,2
Year1,Rockaway Park-Far Rockaway,1
Year1,Windsor Terrace-Bergen Beach,1
Year2,Governors Island-Sunset Park,1
Year3,Flushing-Brownsville,4
Year0,Edgemere-Rockaway Beach,1
Year2,Sunset Park-University Heights,1
Year2,Claremont Village-Woodside,1
Year1,Kensington-Navy Yard,3
Year2,East Morrisania-Theater District,2
Year1,Bushwick-Clason Point,1
Year3,Fresh Meadows-Harlem,5
Year0,Vinegar Hill-Coney Island,2
Year3,Queens Village-Theater District,3
Year0,Brighton Beach-Stuyvesant Town,3
Year3,Bellerose-Hollis Hills,4
Year0,Soundview-Marble Hill,1
Year0,South Ozone Park-Grymes Hill,1
Year3,West Farms-Pelham Bay Park,2
Year1,Cobble Hill-Great Kills,1
Year1,Cunningham Park-Morningside Heights,1
Year1,Red Hook-Todt Hill,1
Year2,Port Morris-Crotona Park,1
Year3,Bronxdale-City Island,3
Year0,Gowanus-Floyd Bennett Field,2
Year2,Schuylerville-Baychester,1
Year2,Kensington-Fordham,2
Year1,Clason Point-Williamsbridge,4
Year3,Flatiron District-Willowbrook,3
Year0,Brighton Beach-Bergen Beach,2
Year2,Rego Park-Clason Point,1
Year0,Brighton Beach-Downtown Brooklyn,1
Year1,Port Morris-Ozone Park,1
Year3,Eastchester-Port Morris,1
Year0,Claremont Village-West Farms,3
Year0,Bayside-Central Park,1
Year2,Red Hook-Allerton,1
Year3,Longwood-Brooklyn Heights,1
Year1,Kew Gardens-Boerum Hill,2
Year1,Corona-Fort Greene,4
Year1,Hollis-Morningside Heights,2
Year1,Hollis-East Flatbush,1
Year1,Central Park-Shore Acres,1
Year0,Maspeth-Spuyten Duyvil,1
Year2,Co-op City-Floral Park,1
Year3,Breezy Point-Rockaway Park,2
Year3,Bedford-Stuyvesant-Baychester,1
Year1,Bay Terrace-Fort Hamilton,1
Year1,Fort Hamilton-Bull's Head,4
