FY,trip_string,total_trips
Year3,Bensonhurst-Roosevelt Island,1
Year0,South Slope-Belle Harbor,1
Year1,Jackson Heights-Douglaston,2
Year1,Central Park-New Springville,1
Year1,Clinton Hill-Soundview,1
Year1,Castle Hill-Cobble Hill,1
Year0,Co-op City-Bronxdale,3
Year1,Battery Park City-Alley Pond Park,1
Year1,Baychester-Melrose,2
Year3,Kew Gardens Hills-Tremont,1
Year1,Schuylerville-Howard Beach,1
Year3,Marine Park-Bayswater,1
Year2,Westerleigh-West Brighton,1
Year3,Flatlands-SoHo,2
Year3,University Heights-Crown Heights,1
Year2,Floyd Bennett Field-Neponsit,1
Year0,Ditmars Steinway-Charleston,1
Year3,Coney Island-Vinegar Hill,1
Year0,Coney Island-Prospect-Lefferts Gardens,1
Year3,Brighton Beach-Greenwich Village,1
Year0,Castle Hill-East Village,2
Year3,Rego Park-Prospect Park,1
Year1,East New York-Civic Center,1
Year1,Marine Park-West Village,2
Year3,Bensonhurst-Rosebank,1
Year2,Hollis-SoHo,1
Year0,Midwood-Gerritsen Beach,1
Year3,St. George-Graniteville,1
Year3,West Farms-LaGuardia Airport,2
Year1,Kew Gardens-Little Neck,1
Year3,Marine Park-Ozone Park,1
Year0,Dyker Heights-Castleton Corners,1
Year2,Park Hill-Theater District,1
Year2,Howland Hook-Long Island City,1
Year0,Two Bridges-Grymes Hill,1
Year0,Baychester-Longwood,2
Year3,Carroll Gardens-Fieldston,1
Year0,Pelham Bay Park-Forest Hills,1
Year2,Parkchester-Jamaica Hills,1
Year2,Stapleton-Jackson Heights,1
Year1,Roosevelt Island-Gravesend,2
Year3,Bensonhurst-Clinton Hill,1
Year2,Prospect Heights-Great Kills,1
Year3,Concord-Westerleigh,1
Year1,Bedford-Stuyvesant-Woodrow,1
Year2,Cobble Hill-Belle Harbor,1
Year1,Eastchester-Bay Ridge,1
Year3,Sunset Park-Laurelton,1
Year2,Downtown Brooklyn-Pelham Bay Park,1
Year2,Lighthouse Hill-John F. Kennedy International Airport,1
Year3,DUMBO-Port Morris,1
Year3,Gerritsen Beach-Flatbush,1
Year0,Rossville-SoHo,1
FY,trip_string,total_trips
Year0,Hell's Kitchen-Flatiron District,125789
Year1,Central Park-Upper East Side,519556
Year0,Greenpoint-Williamsburg,59221
Year0,SoHo-Financial District,157538
Year2,East Village-Gramercy,242820
Year1,Brooklyn Heights-Downtown Brooklyn,6233
Year1,Chelsea-NoHo,121025
Year1,Long Island City-Midtown,61589
Year0,Midtown-Chinatown,83761
Year0,Chinatown-West Village,31008
Year0,Parkchester-Bronxdale,21
Year0,Brooklyn Heights-Park Slope,8400
Year1,Battery Park City-Civic Center,8179
Year0,Lower East Side-DUMBO,4712
Year0,Williamsburg-NoHo,6903
Year0,West Village-Upper West Side,258686
Year0,West Village-Central Park,37109
Year0,Civic Center-Fort Greene,1739
Year0,Battery Park City-Murray Hill,33970
Year0,Midtown-Sunnyside,69664
Year2,Nolita-Upper East Side,34101
Year2,Hell's Kitchen-Morningside Heights,50082
Year0,Greenpoint-West Village,2836
Year0,Nolita-South Slope,1509
Year1,Red Hook-Chinatown,95
Year0,Brooklyn Heights-Battery Park City,5300
Year0,Gramercy-Bedford-Stuyvesant,9272
Year2,East Harlem-LaGuardia Airport,17369
Year0,Midtown-South Slope,14247
Year1,John F. Kennedy International Airport-South Slope,9304
Year0,Hell's Kitchen-Jamaica,1401
Year0,Upper West Side-Flushing,3421
Year0,Flushing-John F. Kennedy International Airport,277
Year1,John F. Kennedy International Airport-Kips Bay,27794
Year3,Gramercy-Greenwich Village,102211
Year3,NoHo-Murray Hill,34922
Year3,Flushing-Kew Gardens Hills,172
Year2,DUMBO-SoHo,1915
Year3,Upper West Side-East Village,82810
Year2,Upper West Side-NoHo,20222
Year2,Kips Bay-Roosevelt Island,1496
Year1,Tribeca-Kips Bay,38534
Year3,NoHo-East Harlem,5723
Year1,Kips Bay-Prospect Heights,1854
Year3,Upper West Side-Riverdale,6398
Year1,Midtown-Clinton Hill,23372
Year3,Nolita-Ditmars Steinway,846
Year3,John F. Kennedy International Airport-Bellerose,3053
Year3,West Village-Clason Point,143
Year3,Theater District-Springfield Gardens,546
Year1,Gramercy-Prospect Heights,3184
Year1,East Village-Red Hook,3077
Year0,Greenwich Village-Gravesend,925
Year1,Financial District-John F. Kennedy International Airport,31679
Year1,Financial District-South Ozone Park,722
Year2,Boerum Hill-Prospect-Lefferts Gardens,1063
Year2,John F. Kennedy International Airport-Woodside,7398
Year3,Gramercy-East Elmhurst,1222
Year3,Upper East Side-Carroll Gardens,6363
Year3,Sunnyside-Red Hook,55
Year1,Washington Heights-Highbridge,677
Year2,Brooklyn Heights-Greenwich Village,2567
Year1,Long Island City-Downtown Brooklyn,1216
Year1,East Village-Jackson Heights,8050
Year1,Hell's Kitchen-Riverdale,2129
Year1,Downtown Brooklyn-Morningside Heights,381
Year2,Hell's Kitchen-North Riverdale,1156
Year1,Upper West Side-Bronx Park,600
Year0,Springfield Gardens-Williamsburg,17
Year1,Springfield Gardens-Upper West Side,122
Year2,Theater District-Little Neck,129
Year2,Flatiron District-Brooklyn Heights,5586
Year2,Randall's Island-Harlem,353
Year3,Boerum Hill-Sheepshead Bay,104
Year3,Woodside-Corona,1108
Year3,Boerum Hill-NoHo,448
Year0,East Elmhurst-Harlem,1508
Year2,Lower East Side-Elmhurst,3279
Year2,East Elmhurst-Park Slope,262
Year0,Financial District-Morris Heights,190
Year2,Midtown-New Dorp,82
Year3,Astoria-Woodside,9025
Year2,Central Park-Elmhurst,776
Year2,Forest Hills-Bellerose,44
Year2,Astoria-Gowanus,203
Year2,Washington Heights-Williamsburg,401
Year2,Nolita-Kingsbridge,83
Year2,Upper West Side-Bensonhurst,421
Year2,Hell's Kitchen-East Flatbush,2135
Year2,Upper East Side-Mount Hope,1561
Year2,Flushing Meadows Corona Park-Murray Hill,289
Year3,Lower East Side-Bronx Park,50
Year1,South Slope-Downtown Brooklyn,749
Year1,NoHo-Jackson Heights,1077
Year1,Flatbush-Astoria,78
Year1,Upper East Side-Little Neck,145
Year0,Financial District-Randall Manor,61
Year1,Chelsea-Longwood,2312
Year1,SoHo-Prospect-Lefferts Gardens,3402
Year1,East Elmhurst-Sunnyside,1547
Year1,Midtown-Tompkinsville,80
Year1,Theater District-Soundview,862
Year1,Upper West Side-Highbridge,2070
Year1,Briarwood-Jamaica,290
Year3,Tribeca-Riverdale,285
Year0,Sunnyside-Park Slope,589
Year0,Prospect Park-Flatbush,444
Year2,Richmond Hill-Kew Gardens,426
Year2,Harlem-Brooklyn Heights,305
Year2,Hell's Kitchen-Fresh Meadows,402
Year1,Battery Park City-Bedford-Stuyvesant,1726
Year0,Washington Heights-Nolita,139
Year3,Maspeth-Woodhaven,58
Year3,Long Island City-Downtown Brooklyn,784
Year2,Chinatown-South Ozone Park,147
Year2,East Harlem-Jamaica Hills,64
Year2,East Elmhurst-Greenwich Village,431
Year1,Jamaica Hills-Jamaica Estates,127
Year1,Lower East Side-Bensonhurst,766
Year2,Mott Haven-Fieldston,40
Year0,Kensington-East Flatbush,147
Year0,Flatiron District-East Morrisania,76
Year2,Kingsbridge-Fieldston,81
Year3,Woodside-Chinatown,124
Year1,West Village-Kew Gardens Hills,325
Year1,Boerum Hill-Mott Haven,22
Year1,Bedford-Stuyvesant-Rego Park,61
Year0,Woodside-Harlem,637
Year0,Tribeca-Woodhaven,223
Year0,Sunnyside-Inwood,218
Year3,East Elmhurst-Sunset Park,111
Year2,SoHo-Glendale,282
Year0,Tribeca-Corona,545
Year0,Murray Hill-Wakefield,109
Year1,Kips Bay-Morris Heights,212
Year3,Hell's Kitchen-Pelham Gardens,273
Year2,Mount Hope-Mount Hope,379
Year0,Ditmars Steinway-Boerum Hill,69
Year0,Upper West Side-East New York,335
Year0,Kips Bay-Bronxdale,110
Year0,Two Bridges-Bushwick,77
Year1,Hell's Kitchen-Belle Harbor,55
Year2,Upper West Side-Sheepshead Bay,803
Year1,Crown Heights-Kips Bay,341
Year2,Two Bridges-Bath Beach,10
Year3,Maspeth-Stuyvesant Town,31
Year0,Spuyten Duyvil-Inwood,52
Year1,Washington Heights-Two Bridges,37
Year2,West Village-Whitestone,195
Year2,Inwood-Soundview,35
Year0,Harlem-Pelham Gardens,67
Year2,Williamsburg-Inwood,516
Year2,SoHo-Brownsville,235
Year1,Maspeth-Richmond Hill,95
Year2,Soundview-Gramercy,4
Year2,Ditmars Steinway-Crown Heights,140
Year3,Randall's Island-Astoria,97
Year2,Concourse-Hell's Kitchen,177
Year0,Williamsburg-Bellerose,24
Year0,Lower East Side-Williamsbridge,56
Year0,Astoria-Kingsbridge,260
Year1,Concourse Village-Concourse,174
Year1,Washington Heights-Ridgewood,31
Year3,Morningside Heights-Greenpoint,325
Year3,Prospect-Lefferts Gardens-Cobble Hill,122
Year3,Williamsburg-St. George,11
Year1,Kensington-Long Island City,50
Year1,Rego Park-Greenwich Village,117
Year1,Downtown Brooklyn-Marine Park,69
Year3,Prospect Park-Vinegar Hill,17
Year1,Upper West Side-Bay Ridge,2381
Year0,Chinatown-Flatbush,1607
Year0,Rego Park-Theater District,328
Year1,Queens Village-Hell's Kitchen,14
Year3,Glendale-Elmhurst,37
Year2,NoHo-Fresh Meadows,45
Year3,Port Morris-Woodside,13
Year0,Fort Hamilton-SoHo,13
Year1,Fort Greene-Rosedale,23
Year0,Manhattan Beach-Midwood,1
Year0,Canarsie-Park Slope,7
Year0,Prospect Park-Boerum Hill,263
Year1,Flatbush-Woodhaven,9
Year2,Hell's Kitchen-Prince's Bay,25
Year3,Springfield Gardens-Murray Hill,45
Year3,Fort Hamilton-Columbia St,6
Year0,Central Park-Claremont Village,93
Year2,Marble Hill-East Harlem,21
Year3,Gowanus-Jamaica,6
Year0,Crown Heights-Inwood,11
Year3,Washington Heights-Brownsville,22
Year2,DUMBO-Spuyten Duyvil,3
Year3,Glendale-South Ozone Park,16
Year2,Melrose-Greenwich Village,3
Year2,Chelsea-Arverne,41
Year3,Gravesend-Bay Ridge,36
Year2,Elmhurst-Fordham,33
Year1,Elmhurst-Bay Ridge,12
Year2,Columbia St-Astoria,42
Year0,Central Park-Unionport,67
Year1,Harlem-Columbia St,40
Year1,Roosevelt Island-Inwood,66
Year0,Claremont Village-Midtown,31
Year0,Morningside Heights-Pelham Gardens,27
Year3,Ozone Park-Boerum Hill,4
Year1,Midwood-Brooklyn Heights,44
Year3,Gowanus-Woodside,30
Year2,Sheepshead Bay-East Flatbush,57
Year1,Flushing Meadows Corona Park-Jamaica Estates,15
Year3,Morningside Heights-Fort Hamilton,125
Year2,Ozone Park-Astoria,17
Year0,Morningside Heights-Richmond Hill,90
Year1,South Ozone Park-Greenpoint,29
Year1,Navy Yard-Carroll Gardens,34
Year3,Rosedale-Hell's Kitchen,4
Year0,Central Park-College Point,52
Year1,Elmhurst-Throgs Neck,11
Year0,Glendale-Howard Beach,13
Year1,Westchester Square-Mott Haven,18
Year1,South Slope-Forest Hills,33
Year1,Williamsbridge-Williamsbridge,132
Year2,Rego Park-Roosevelt Island,14
Year0,Queens Village-St. Albans,17
Year3,Brighton Beach-Rosedale,1
Year2,Civic Center-Canarsie,50
Year1,Middle Village-Astoria,33
Year1,Two Bridges-Canarsie,6
Year3,Lower East Side-Country Club,53
Year3,Manhattan Beach-Fort Hamilton,1
Year2,East Village-Grymes Hill,25
Year0,Elmhurst-Concourse Village,94
Year1,Port Morris-Park Slope,9
Year1,Gravesend-Woodside,4
Year0,Forest Hills-Bellerose,88
Year0,University Heights-Williamsbridge,3
Year0,Springfield Gardens-Floral Park,2
Year1,Sunnyside-Flatlands,7
Year1,Two Bridges-Kensington,47
Year0,Inwood-Co-op City,5
Year0,Red Hook-Prospect-Lefferts Gardens,29
Year3,Nolita-Melrose,57
Year2,Red Hook-Dyker Heights,16
Year2,Jackson Heights-Flatiron District,48
Year0,Wakefield-Fordham,12
Year2,Midtown-Rosebank,45
Year3,Richmond Hill-Brownsville,12
Year3,Long Island City-Van Nest,43
Year1,Corona-Greenwich Village,52
Year1,Downtown Brooklyn-Longwood,52
Year0,Sheepshead Bay-Cobble Hill,13
Year3,Corona-Park Slope,2
Year3,Hell's Kitchen-Mariners Harbor,38
Year3,Fresh Meadows-Hollis Hills,4
Year2,Williamsbridge-Kingsbridge,15
Year2,Ozone Park-Bushwick,21
Year3,Clinton Hill-Green-Wood Cemetery,14
Year3,Fort Greene-Forest Park,12
Year2,Williamsburg-Bellerose,29
Year1,West Village-Port Richmond,13
Year0,Throgs Neck-Unionport,34
Year2,Broad Channel-Rockaway Beach,2
Year3,Chelsea-Bull's Head,96
Year1,Cobble Hill-Holliswood,5
Year2,Williamsburg-Morris Park,44
Year1,Prospect Heights-Hollis,4
Year1,Woodside-Unionport,9
Year3,Highbridge-Baychester,5
Year2,Boerum Hill-Fieldston,4
Year0,Port Morris-SoHo,38
Year2,Laurelton-John F. Kennedy International Airport,11
Year1,Fort Hamilton-Midwood,38
Year2,Throgs Neck-Co-op City,13
Year3,Olinville-Kips Bay,2
Year2,Kensington-Marine Park,18
Year2,Castle Hill-Port Morris,2
Year2,Financial District-Latourette Park,13
Year1,Flatbush-Coney Island,19
Year3,Nolita-Cambria Heights,4
Year0,Kensington-Astoria,40
Year0,St. George-Castleton Corners,2
Year1,Rego Park-Sheepshead Bay,11
Year2,Central Park-College Point,27
Year0,Ridgewood-Bedford-Stuyvesant,86
Year0,East Elmhurst-Rockaway Beach,7
Year3,Forest Park-Fort Hamilton,1
Year0,Flatbush-East Harlem,44
Year0,East Village-Broad Channel,14
Year3,Bedford-Stuyvesant-Morris Heights,11
Year0,Washington Heights-Whitestone,12
Year1,Morris Heights-Midtown,50
Year2,Pelham Gardens-Woodside,1
Year3,Chelsea-Neponsit,20
Year1,Woodhaven-Greenpoint,11
Year0,Ditmars Steinway-Far Rockaway,1
Year1,Bergen Beach-LaGuardia Airport,6
Year1,Stuyvesant Town-Howard Beach,52
Year2,East Elmhurst-Coney Island,7
Year2,Floral Park-Richmond Hill,1
Year2,Windsor Terrace-Roosevelt Island,1
Year1,NoHo-Clason Point,23
Year1,Corona-Woodhaven,19
Year0,Kew Gardens-Bay Terrace,7
Year3,Hollis-Ditmars Steinway,2
Year0,Two Bridges-Concord,2
Year3,Unionport-Woodlawn,3
Year0,Flushing-Bay Ridge,8
Year3,Highbridge-Jamaica,3
Year0,Crown Heights-Glendale,17
Year3,Floral Park-Jamaica,4
Year0,Flushing Meadows Corona Park-Floral Park,5
Year0,Mount Eden-Fordham,31
Year2,Columbia St-Flushing,9
Year3,Williamsbridge-Olinville,16
Year3,Vinegar Hill-Briarwood,1
Year0,Mott Haven-Rego Park,6
Year2,University Heights-Schuylerville,2
Year3,Prospect-Lefferts Gardens-Green-Wood Cemetery,4
Year2,Ozone Park-Sunnyside,12
Year1,Ozone Park-Middle Village,12
Year0,Washington Heights-Kew Gardens Hills,44
Year1,Mount Hope-Astoria,4
Year3,Midwood-West Village,14
Year3,Elmhurst-Columbia St,4
Year3,Cypress Hills-Corona,5
Year2,Baychester-LaGuardia Airport,5
Year3,Claremont Village-Chelsea,10
Year2,Marine Park-Borough Park,3
Year0,Inwood-Flatbush,8
Year1,Springfield Gardens-Floral Park,2
Year0,Vinegar Hill-East New York,8
Year0,Howard Beach-East Village,3
Year1,Borough Park-Sea Gate,2
Year3,Schuylerville-Van Nest,3
Year2,Concourse Village-Greenpoint,2
Year1,Borough Park-Ditmars Steinway,2
Year0,Sunset Park-Mott Haven,6
Year1,Little Italy-Jamaica,27
Year2,Sunset Park-Stapleton,2
Year1,Flatiron District-Great Kills,8
Year3,Briarwood-NoHo,7
Year1,Bensonhurst-John F. Kennedy International Airport,25
Year0,Port Morris-NoHo,15
Year2,Upper West Side-Prince's Bay,4
Year0,East Flatbush-Elmhurst,4
Year3,East Harlem-Far Rockaway,11
Year0,Hunts Point-Bronxdale,4
Year1,Jamaica-Cobble Hill,8
Year1,Woodlawn-Upper East Side,9
Year0,Fieldston-Longwood,1
Year0,Port Morris-Castle Hill,4
Year2,Broad Channel-Howard Beach,6
Year0,Concourse Village-Long Island City,5
Year0,Roosevelt Island-Hunts Point,1
Year0,Jamaica Bay-Harlem,1
Year2,South Beach-Midtown,1
Year3,Cypress Hills-Boerum Hill,12
Year3,Grant City-South Beach,1
Year0,Howard Beach-Bayswater,1
Year3,Chinatown-Allerton,33
Year1,Woodlawn-Mount Eden,3
Year3,Bushwick-Schuylerville,2
Year1,Cypress Hills-Bay Ridge,3
Year3,Midwood-Cobble Hill,6
Year0,Fort Hamilton-Red Hook,9
Year2,North Riverdale-Financial District,3
Year2,College Point-Theater District,8
Year3,Flatbush-Nolita,11
Year1,Concourse Village-Unionport,10
Year2,St. George-Randall Manor,3
Year1,Parkchester-St. Albans,1
Year1,Riverdale-East Harlem,6
Year2,Crown Heights-Castle Hill,1
Year1,Bergen Beach-Jamaica,2
Year0,Kew Gardens-Randall's Island,3
Year2,Prospect Heights-Hollis,4
Year1,Rosedale-Bedford-Stuyvesant,2
Year3,Todt Hill-Fort Greene,1
Year2,Bushwick-Mott Haven,19
Year2,Canarsie-Cypress Hills,17
Year3,Park Slope-Wakefield,2
Year2,Concourse-Roosevelt Island,3
Year0,Norwood-Tribeca,5
Year1,Springfield Gardens-Brownsville,3
Year3,Washington Heights-Mill Basin,3
Year1,Concourse-Prospect Heights,5
Year2,Tremont-Allerton,3
Year0,West Brighton-Silver Lake,2
Year0,Concourse-Kensington,1
Year1,Pelham Gardens-Morris Park,6
Year0,Little Italy-University Heights,7
Year1,New Springville-Eltingville,1
Year3,Wakefield-Port Morris,3
Year2,Soundview-Woodside,3
Year0,Downtown Brooklyn-New Brighton,5
Year2,Civic Center-Manhattan Beach,5
Year0,Brooklyn Heights-Sea Gate,2
Year1,Cypress Hills-Brooklyn Heights,7
Year3,Morningside Heights-Queens Village,3
Year0,Dyker Heights-Flatlands,5
Year3,Clinton Hill-Port Morris,3
Year2,East Flatbush-Mount Hope,1
Year1,DUMBO-Mott Haven,3
Year3,Kips Bay-Woodrow,7
Year1,South Ozone Park-Kingsbridge,2
Year1,Upper West Side-Charleston,1
Year2,Inwood-Bay Ridge,4
Year1,Manhattan Beach-Midtown,4
Year3,Glendale-Ditmars Steinway,4
Year0,Red Hook-Concourse Village,2
Year1,Murray Hill-Rikers Island,1
Year1,Allerton-Crown Heights,1
Year1,Two Bridges-Melrose,5
Year2,Roosevelt Island-Kew Gardens Hills,6
Year3,Nolita-Lighthouse Hill,1
Year3,Bronxdale-Washington Heights,11
Year2,New Dorp Beach-Great Kills,1
Year1,Throgs Neck-John F. Kennedy International Airport,7
Year3,Windsor Terrace-Jamaica Estates,1
Year0,Chelsea-Lighthouse Hill,9
Year2,Jamaica-Floral Park,8
Year2,Stuyvesant Town-Coney Island,12
Year0,Rego Park-Pelham Gardens,2
Year3,Boerum Hill-Westchester Square,1
Year2,Cobble Hill-Bayside,7
Year1,Bedford-Stuyvesant-Eastchester,2
Year3,Wakefield-Claremont Village,2
Year1,Columbia St-Kingsbridge,1
Year0,Jamaica Bay-Gerritsen Beach,1
Year0,Sheepshead Bay-Washington Heights,6
Year2,Cypress Hills-Mill Basin,1
Year1,Castleton Corners-Emerson Hill,5
Year0,Parkchester-Howard Beach,1
Year3,Wakefield-Van Nest,1
Year3,Whitestone-Morris Park,1
Year3,Little Italy-Rosedale,2
Year2,Castle Hill-Co-op City,1
Year1,Concord-Battery Park City,1
Year0,Midwood-East Elmhurst,8
Year1,Woodhaven-Rockaway Beach,4
Year3,Little Neck-Fresh Meadows,2
Year1,Astoria-Bull's Head,4
Year2,Kingsbridge-East Flatbush,1
Year0,Brighton Beach-Sea Gate,2
Year2,City Island-Belmont,2
Year2,Mott Haven-Hollis,1
Year3,Corona-Prospect Heights,1
Year3,East Harlem-Laurelton,4
Year0,Hunts Point-Bronx Park,2
Year0,Prospect Park-Allerton,2
Year3,Fieldston-Wakefield,2
Year3,Williamsbridge-University Heights,1
Year0,University Heights-Gramercy,1
Year3,Fort Hamilton-Sunnyside,4
Year1,Todt Hill-Dongan Hills,1
Year1,Morris Heights-Bronx Park,1
Year1,East Elmhurst-Graniteville,1
Year2,SoHo-Grant City,1
Year3,Park Slope-Soundview,5
Year0,Prospect Heights-Rockaway Beach,1
Year0,Bushwick-Jamaica Hills,2
Year0,Forest Hills-Broad Channel,2
Year3,Brighton Beach-Gerritsen Beach,3
Year2,Gramercy-Edgemere,3
Year0,Ozone Park-East Harlem,5
Year3,Ridgewood-Mott Haven,2
Year3,Claremont Village-Pelham Bay,1
Year1,Grymes Hill-Midtown,3
Year0,Lighthouse Hill-Freshkills Park,1
Year3,Castle Hill-Bronx Park,2
Year0,Concord-John F. Kennedy International Airport,1
Year3,Springfield Gardens-Midwood,4
Year1,Silver Lake-Clifton,1
Year2,Sunnyside-North Riverdale,6
Year2,Spuyten Duyvil-Randall's Island,1
Year2,Kips Bay-Edgemere,2
Year0,Coney Island-Columbia St,1
Year0,Borough Park-Columbia St,3
Year3,Greenpoint-Rockaway Beach,3
Year3,Morrisania-Bedford-Stuyvesant,1
Year2,Gowanus-Rockaway Park,1
Year1,Brooklyn Heights-Van Cortlandt Park,1
Year1,East New York-Edgemere,1
Year1,Morningside Heights-Clifton,1
Year2,Coney Island-Brownsville,1
Year0,Chinatown-Sea Gate,2
Year3,Jamaica-Crotona Park,1
Year0,Randall Manor-Mariners Harbor,1
Year3,Longwood-Carroll Gardens,1
Year3,Fieldston-Claremont Village,1
Year1,Floral Park-Upper West Side,2
Year3,Port Morris-Edenwald,3
Year3,Howard Beach-Harlem,3
Year0,Bath Beach-Richmond Hill,1
Year2,DUMBO-Morris Heights,1
Year0,Carroll Gardens-Hunts Point,1
Year2,West Farms-Ferry Point Park,1
Year1,Bergen Beach-Jackson Heights,1
Year3,Cambria Heights-Longwood,1
Year1,Fort Hamilton-Grymes Hill,1
Year2,Rosedale-East Village,2
Year2,Mott Haven-Bay Terrace,1
Year0,Brownsville-Navy Yard,1
Year3,Flushing Meadows Corona Park-Spuyten Duyvil,1
Year0,Randall's Island-Williamsbridge,1
Year0,Eastchester-Concourse,1
Year2,North Riverdale-Concourse,3
Year1,Pelham Bay-Inwood,1
Year3,Mott Haven-Rosedale,1
Year1,Morris Heights-Pelham Bay Park,1
Year0,Kew Gardens-South Slope,1
Year1,Bayside-Bayswater,1
Year1,Neponsit-Rockaway Park,1
Year3,Port Morris-Cobble Hill,1
Year3,Sheepshead Bay-Washington Heights,3
Year0,Prospect-Lefferts Gardens-East Morrisania,1
Year1,Floyd Bennett Field-Downtown Brooklyn,1
Year2,Longwood-City Island,1
Year0,East New York-Floyd Bennett Field,2
Year2,Throgs Neck-Randall's Island,1
Year3,Glendale-Whitestone,1
Year0,Douglaston-Cypress Hills,3
Year3,Eastchester-Chelsea,1
Year1,Roosevelt Island-Rosedale,2
Year1,Flatlands-Red Hook,2
Year0,Richmond Hill-Longwood,1
Year3,Baychester-Financial District,3
Year1,Bensonhurst-West Brighton,1
Year0,Pelham Bay Park-West Village,1
Year0,Downtown Brooklyn-South Beach,2
Year2,Tompkinsville-Randall Manor,1
Year2,Norwood-Williamsburg,1
Year0,Borough Park-Rosedale,1
Year2,Little Neck-Central Park,1
Year0,Springfield Gardens-Borough Park,1
Year2,Canarsie-Flushing,1
Year0,Midland Beach-Hell's Kitchen,1
Year0,Fort Greene-Woodrow,1
Year2,St. Albans-LaGuardia Airport,1
Year1,Silver Lake-East Harlem,1
Year1,Canarsie-Red Hook,1
Year1,Crotona Park-Mount Eden,1
Year3,Marble Hill-Bushwick,1
Year3,Nolita-Rossville,1
Year1,East Morrisania-Baychester,2
Year1,East Flatbush-Far Rockaway,1
Year3,Morrisania-Bronxdale,4
Year0,Morris Heights-Nolita,1
Year2,Long Island City-Westerleigh,1
Year0,Clifton-Westerleigh,1
Year3,Glendale-East Harlem,1
Year1,Westerleigh-St. George,1
Year2,Fresh Meadows-Lower East Side,1
Year3,St. Albans-Fort Greene,1
Year2,Middle Village-Stuyvesant Town,2
Year3,Long Island City-Shore Acres,2
Year0,Westchester Square-Claremont Village,1
Year1,Woodlawn-Woodside,1
Year2,Stuyvesant Town-Randall Manor,1
Year0,Floral Park-Fordham,1
Year2,Rego Park-Flatlands,1
Year3,Cypress Hills-Morris Park,1
Year1,"Boerum Hill-Bay Terrace, Staten Island",1
Year3,St. Albans-Wakefield,1
Year1,Rockaway Park-Hell's Kitchen,1
Year2,Little Italy-Oakwood,1
Year2,Sunnyside-New Springville,1
Year3,Tottenville-Long Island City,1
FY,trip_string,total_trips
Year1,Upper East Side-Long Island City,86934
Year1,Theater District-Morningside Heights,26773
Year1,Civic Center-SoHo,18002
Year1,Flatiron District-Hell's Kitchen,130118
Year1,NoHo-Upper West Side,40314
Year1,Hell's Kitchen-Bedford-Stuyvesant,16206
Year1,Corona-Ridgewood,20
Year1,Sunnyside-Astoria,19281
Year1,Washington Heights-Flatiron District,744
Year1,LaGuardia Airport-Sheepshead Bay,3198
Year1,Elmhurst-Rego Park,1149
Year2,Hell's Kitchen-Hell's Kitchen,1036670
Year2,Murray Hill-Kips Bay,144972
Year2,Park Slope-Crown Heights,15620
Year2,Greenpoint-Long Island City,8985
Year2,Downtown Brooklyn-Prospect Heights,2111
Year2,Tribeca-Brooklyn Heights,17917
Year2,Clinton Hill-Bushwick,2121
Year2,Chelsea-Long Island City,48241
Year2,Columbia St-Financial District,199
Year2,Brooklyn Heights-Chelsea,7831
Year2,Fort Greene-Canarsie,219
Year2,Theater District-Elmhurst,6375
Year2,Nolita-Astoria,2503
Year2,Chelsea-Fort Hamilton,4301
Year2,LaGuardia Airport-Nolita,7347
Year2,John F. Kennedy International Airport-NoHo,4982
Year2,LaGuardia Airport-Neponsit,63
Year2,John F. Kennedy International Airport-North Riverdale,1251
Year0,Murray Hill-Stuyvesant Town,29677
Year0,Little Italy-Financial District,13271
Year0,Little Italy-Theater District,17042
Year1,Civic Center-East Harlem,2393
Year0,Sunnyside-Tribeca,1658
Year1,South Slope-Williamsburg,2949
Year0,Upper West Side-Downtown Brooklyn,6827
Year0,Downtown Brooklyn-Jackson Heights,529
Year0,West Village-Washington Heights,19254
Year0,Hell's Kitchen-Bushwick,7369
Year0,Hell's Kitchen-Glendale,984
Year0,Flatiron District-Bay Ridge,1569
Year0,LaGuardia Airport-Inwood,6638
Year0,Bushwick-Midtown,775
Year0,John F. Kennedy International Airport-Central Park,20579
Year0,Carroll Gardens-Morningside Heights,297
Year0,Inwood-Hell's Kitchen,875
Year1,NoHo-Clinton Hill,5276
Year1,DUMBO-Inwood,36
Year1,Borough Park-Greenwich Village,23
Year1,Upper West Side-Eastchester,85
Year0,NoHo-Little Italy,3765
Year0,Nolita-Bushwick,3944
Year0,Columbia St-Midtown,1055
Year0,East Elmhurst-John F. Kennedy International Airport,1617
Year0,Central Park-Boerum Hill,623
Year0,East Village-North Riverdale,306
Year3,NoHo-Lower East Side,37676
Year3,Chinatown-Tribeca,20534
Year3,Kips Bay-Civic Center,5024
Year3,Midtown-Civic Center,36952
Year3,Long Island City-East Harlem,5386
Year3,Park Slope-East Flatbush,1823
Year3,Upper West Side-Stuyvesant Town,13195
Year2,Harlem-Fordham,1492
Year3,East Village-Harlem,39248
Year3,SoHo-Jackson Heights,2400
Year3,Upper East Side-Rego Park,6028
Year3,Financial District-Sunnyside,3417
Year3,Cobble Hill-Upper East Side,1896
Year2,Battery Park City-Greenpoint,1546
Year3,Midtown-Borough Park,4671
Year2,LaGuardia Airport-Prospect Park,1778
Year3,Upper West Side-Jamaica Estates,278
Year1,Stuyvesant Town-East Morrisania,19
Year3,Bushwick-Park Slope,479
Year3,Brooklyn Heights-Theater District,3481
